name,topic_num
대통령실,/100/264
국회/정당,/100/265
북한,/100/268
행정,/100/266
국방/외교,/100/267
정치일반,/100/269
금융,/101/259
증권,/101/258
산업/재계,/101/261
중기/벤처,/101/771
부동산,/101/260
글로벌 경제,/101/262
생활 경제 ,/101/310
경제 일반,/101/263
사건사고,/102/249
교육,/102/250
동,/102/251
언론,/102/254
환경,/102/252
인권/복지,/102/59b
식품/의료,/102/255
지역,/102/256
인물,/102/276
사회 일반,/102/257
건강정보,/103/241
자동차/시승기,/103/239
도로/교통,/103/240
여행/레저,/103/237
음식/맛집,/103/238
패션/뷰티,/103/376
공연/전시,/103/242
책,/103/243
종교,/103/244
날씨,/103/248
생활문화 일반,/103/245
모바일,/105/731
인터넷/SNS,/105/226
통신/뉴미디어,/105/227
IT 일반,/105/230
보안/해킹,/105/732
컴퓨터,/105/283
게임/리뷰,/105/229
과학 일반,/105/228
아시아/호주,/104/231
미국/중남미,/104/232
유럽,/104/233
중동/아프리카,/104/234
세계 일반,/104/322
