IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"24,975.55","25,201.82","25,991.83","6,127.77","6,211.49"
매출원가,"14,343.18","14,061.80","14,139.46","3,363.88","3,408.93"
매출총이익,"10,632.37","11,140.02","11,852.37","2,763.89","2,802.56"
판매비와관리비,"8,726.66","9,900.82","9,770.96","2,136.63","2,319.04"
인건비,"2,740.04","2,460.88","2,830.88",652.62,646.03
유무형자산상각비,380.40,399.77,403.09,100.46,100.36
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,"1,848.28","2,457.55","1,922.24",302.15,465.08
판매비,"1,355.71","1,191.95","1,310.80",333.09,337.62
관리비,"1,185.94","1,467.66","1,434.52",344.21,345.21
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,"1,216.29","1,923.01","1,869.42",404.10,424.74
영업이익,"1,905.71","1,239.20","2,081.42",627.25,483.52
영업이익(발표기준),"1,905.71","1,239.20","2,081.42",627.25,483.52
금융수익,251.99,148.15,192.05,29.98,60.92
이자수익,85.87,105.57,91.17,18.24,20.50
배당금수익,16.20,8.28,9.16,5.34,8.97
외환이익,74.14,26.85,22.90,6.40,8.97
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,75.78,7.44,68.82,0.0,22.47
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,532.92,515.07,612.28,119.19,155.84
이자비용,386.15,505.31,544.56,116.92,133.14
외환손실,107.77,8.17,67.72,0.34,22.70
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,39.00,1.59,0.0,1.92,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,219.92,161.11,205.98,57.80,42.24
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,76.99,57.49,82.95,39.41,22.59
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.90,2.52,3.31,0.0,3.04
자산처분(폐기)이익,83.46,36.30,47.66,2.33,2.64
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,33.06,41.44,50.86,14.31,11.40
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,1.44,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,24.08,23.35,21.19,1.75,2.57
기타비용,630.90,348.82,597.85,79.04,50.61
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,70.10,64.38,43.26,49.06,9.41
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,10.28,5.71,14.33,0.94,1.85
자산처분(폐기)손실,261.34,227.41,170.29,26.16,34.76
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,267.40,13.90,347.03,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.13,0.16,0.01,0.12
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,21.78,37.29,22.78,2.87,4.46
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,-0.39,0.0
지분법손익,0.0,0.0,0.0,-0.39,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,213.81",684.57,"1,269.33",516.42,380.23
법인세비용,345.64,329.46,311.98,136.47,118.60
계속영업이익,868.16,355.11,957.35,379.95,261.63
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,868.16,355.11,957.35,379.95,261.63
지배주주순이익,870.02,356.48,958.67,380.14,262.53
비지배주주순이익,-1.85,-1.37,-1.32,-0.18,-0.90
