IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"7,980.40","8,169.04","8,108.32","2,032.30","1,966.60"
매출원가,"6,783.82","6,732.00","6,905.10","1,719.68","1,621.13"
매출총이익,"1,196.57","1,437.04","1,203.21",312.62,345.48
판매비와관리비,970.59,"1,042.89","1,028.83",245.57,244.23
인건비,448.84,474.98,455.21,93.89,110.33
유무형자산상각비,53.10,53.11,84.06,26.82,15.27
연구개발비,40.51,37.74,33.24,8.95,7.25
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,90.60,111.85,53.72,24.90,42.10
관리비,207.52,227.02,233.64,64.96,44.14
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,130.02,138.19,168.96,26.05,25.14
영업이익,225.98,394.15,174.38,67.04,101.25
영업이익(발표기준),225.98,394.15,174.38,67.04,101.25
금융수익,527.55,306.47,409.02,60.07,125.06
이자수익,29.18,50.81,55.80,12.82,11.62
배당금수익,90.80,77.67,46.58,27.58,34.90
외환이익,107.52,73.43,108.43,13.88,63.94
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,95.04,71.93,0.04,0.0,0.04
금융자산평가이익,143.29,31.19,146.85,0.04,8.49
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,61.73,1.44,30.49,0.0,6.07
기타금융수익,0.0,0.0,20.83,5.74,0.0
금융원가,414.43,351.00,488.93,92.95,104.75
이자비용,133.76,211.77,234.85,70.88,54.57
외환손실,101.07,70.04,89.13,14.90,25.64
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,56.59,2.61,0.38,0.0,0.0
금융자산평가손실,59.26,23.40,142.84,6.61,5.47
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,5.05,21.73,0.55,19.08
기타금융원가,63.75,38.11,0.0,0.0,0.0
기타수익,69.16,61.95,68.18,20.26,9.50
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,3.32,1.87,16.20,3.72,1.90
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,23.14,14.73,9.14,9.88,2.03
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,42.70,45.36,42.84,6.66,5.57
기타비용,21.41,16.96,18.86,3.49,1.33
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.82,2.70,1.83,0.10,0.08
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,19.59,14.27,17.03,3.39,1.25
"종속기업,공동지배기업및관계기업관련손익",150.76,-84.82,-26.65,-68.87,-3.55
지분법손익,150.76,-84.82,-26.65,-68.87,-3.55
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,537.61,309.79,117.14,-17.92,126.17
법인세비용,41.86,41.22,92.44,9.75,28.43
계속영업이익,495.76,268.58,24.71,-27.67,97.74
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,495.76,268.58,24.71,-27.67,97.74
지배주주순이익,409.24,4.05,-23.38,-16.99,34.53
비지배주주순이익,86.52,264.53,48.09,-10.68,63.21
