IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,586.34,471.88,494.88,115.50,117.43
매출원가,485.11,384.99,380.36,84.94,84.32
매출총이익,101.23,86.89,114.51,30.57,33.11
판매비와관리비,110.07,105.03,106.79,24.33,24.29
인건비,63.41,56.12,52.33,13.25,12.77
유무형자산상각비,5.38,5.43,5.90,1.26,1.49
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.39,0.19,0.25,0.46,0.14
판매비,20.55,20.59,26.11,4.09,4.29
관리비,19.91,22.43,21.97,5.22,5.52
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.43,0.27,0.23,0.05,0.09
영업이익,-8.84,-18.14,7.72,6.24,8.82
영업이익(발표기준),-8.84,-18.14,7.72,6.24,8.82
금융수익,2.66,6.31,5.81,0.99,1.63
이자수익,2.66,6.31,5.81,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.99,1.63
금융원가,7.29,12.58,13.09,3.05,3.45
이자비용,7.29,12.58,13.09,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,3.05,3.45
기타수익,8.08,5.33,5.72,1.12,1.31
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,5.76,2.20,3.66,0.55,0.86
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.87,0.0,0.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.32,2.27,2.06,0.56,0.45
기타비용,3.50,2.61,13.55,0.67,0.26
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.99,2.17,1.54,0.26,0.19
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.26,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,11.73,0.31,0.0
기타,0.25,0.44,0.28,0.10,0.07
"종속기업,공동지배기업및관계기업관련손익",-0.35,-0.21,-0.22,-0.08,-0.03
지분법손익,-0.35,-0.21,-0.22,-0.08,-0.03
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-9.24,-21.90,-7.60,4.55,8.01
법인세비용,-17.89,-0.87,-4.90,0.99,2.39
계속영업이익,8.64,-21.03,-2.71,3.56,5.63
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,8.64,-21.03,-2.71,3.56,5.63
지배주주순이익,7.66,-20.84,-6.29,2.10,2.68
비지배주주순이익,0.99,-0.19,3.58,1.46,2.95
