IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
영업수익,"196,112.98","208,247.07","226,569.68","61,058.45","55,068.24"
보험료수익,"154,483.02","166,701.11","174,130.47","46,090.97","40,923.50"
재보험수익,0.0,0.0,0.0,0.0,0.0
재보험금수익,"9,163.22","6,104.02","6,430.12","3,911.66","2,132.90"
이자수익,"19,681.00","21,045.57","22,515.33","5,832.25","5,458.84"
수수료수익,0.0,0.0,0.0,0.0,0.0
금융상품관련이익,"1,873.30","3,239.08","4,168.33","1,224.83","1,501.80"
배당금수익,"3,668.89","1,441.45","1,601.03",433.71,376.41
위험회피회계파생상품관련이익,"1,640.58","1,381.97",258.97,275.79,111.99
외환거래이익,"4,258.87","3,685.32","11,308.53","1,698.51","3,156.83"
대출채권평가및처분이익,1.12,385.53,196.01,50.28,66.75
기타금융자산관련이익,0.0,0.0,0.0,0.0,0.0
기타영업수익,"1,342.98","4,263.03","5,960.90","1,540.45","1,339.21"
영업비용,"175,666.39","184,674.24","200,073.71","53,134.88","46,097.63"
보험계약부채(책임준비금)전입액,0.0,0.0,0.0,0.0,0.0
비상위험준비금전입액,0.0,0.0,0.0,0.0,0.0
지급보험금,0.0,0.0,0.0,0.0,0.0
보험금비용,"148,659.82","150,833.68","160,572.42","44,951.59","36,775.09"
배당금비용,0.0,0.0,0.0,0.0,0.0
환급금비용,0.0,0.0,0.0,0.0,0.0
손해조사비,0.0,0.0,0.0,0.0,0.0
재보험비용,0.0,0.0,0.0,0.0,0.0
재보험료비용,"10,927.63","12,686.18","13,154.95","2,907.78","3,364.01"
사업비,"4,144.17","3,865.48","2,295.14",411.69,405.10
신계약비상각비,0.0,0.0,0.0,0.0,0.0
재산관리비,515.66,636.02,690.60,185.11,130.15
이자비용,"3,010.81","4,451.60","4,571.89","1,539.23","1,228.53"
수수료비용,0.0,0.0,0.0,0.0,0.0
금융상품관련손실,"1,628.42","5,809.57","4,928.27",719.34,675.97
위험회피회계파생상품관련손실,"3,515.65","3,968.54","10,691.91","1,772.72","3,087.98"
외환거래손실,"2,158.43","1,472.09",859.15,318.83,129.31
대출채권평가및처분손실,445.03,192.61,"1,488.22",116.55,131.53
기타금융자산관련손실,0.0,0.0,0.0,0.0,0.0
기타영업비용,660.77,758.45,821.17,212.05,169.96
영업이익,"20,446.59","23,572.83","26,495.97","7,923.56","8,970.61"
영업외수익,558.94,"1,186.73","1,201.78",342.96,242.64
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
상각채권추심이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
유가증권처분이익,0.0,0.0,0.0,0.0,0.0
유가증권손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련이익",321.52,834.39,910.36,266.80,173.80
자산처분이익,5.04,2.14,7.09,0.31,0.82
자산재평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,2.36,0.99,0.23,0.74
사채상환이익,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
수입수수료,0.0,0.0,0.0,0.0,0.0
임대료,0.0,0.0,0.0,0.0,0.0
자산수증이익,0.0,0.0,0.0,0.0,0.0
보험차익,0.0,0.0,0.0,0.0,0.0
법인세환급액,0.0,0.0,0.0,0.0,0.0
전기오류수정이익,0.0,0.0,0.0,0.0,0.0
퇴직연금운용이익,0.0,0.0,0.0,0.0,0.0
보험수리적이익,0.0,0.0,0.0,0.0,0.0
기타영업외수익,232.38,347.84,283.34,75.62,67.28
영업외비용,297.37,293.75,252.26,43.49,35.75
이자비용,0.0,0.0,0.0,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
유가증권처분손실,0.0,0.0,0.0,0.0,0.0
유가증권손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손실",198.02,0.0,0.0,0.0,0.0
자산처분손실,0.82,7.49,3.59,0.01,0.0
자산손상차손,2.42,0.0,0.0,0.0,0.0
자산재평가손실,0.0,0.0,0.0,0.0,0.0
사채상환손실,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
지급수수료,0.0,0.0,0.0,0.0,0.0
기부금,54.86,97.41,103.02,8.64,14.14
법인세추납액,0.0,0.0,0.0,0.0,0.0
전기오류수정손실,0.0,0.0,0.0,0.0,0.0
퇴직연금운용손실,0.0,0.0,0.0,0.0,0.0
보험수리적손실,0.0,0.0,0.0,0.0,0.0
기타영업외비용,41.25,188.85,145.65,34.84,21.61
세전계속사업이익,"20,708.17","24,465.82","27,445.49","8,223.03","9,177.50"
법인세비용,"5,338.21","6,249.67","6,677.51","2,132.72","2,157.97"
계속영업이익,"15,369.96","18,216.14","20,767.98","6,090.31","7,019.53"
중단영업이익,897.06,0.0,0.0,0.0,0.0
당기순이익,"16,267.02","18,216.14","20,767.98","6,090.31","7,019.53"
지배주주순이익,"16,229.87","18,184.34","20,735.72","6,081.33","7,009.62"
비지배주주순이익,37.15,31.81,32.26,8.98,9.91
