IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,908.59,930.85,876.24,205.21,221.33
매출원가,634.53,670.21,606.12,138.69,151.99
매출총이익,274.05,260.64,270.12,66.53,69.34
판매비와관리비,273.43,288.67,247.12,56.78,58.47
인건비,109.27,116.26,109.18,26.48,28.31
유무형자산상각비,14.08,14.11,14.16,3.60,3.74
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,26.90,29.11,12.43,1.52,2.38
판매비,41.98,50.91,38.86,10.03,7.56
관리비,41.99,38.85,35.60,8.15,8.98
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,39.22,39.43,36.88,7.00,7.51
영업이익,0.62,-28.04,23.01,9.74,10.87
영업이익(발표기준),0.62,-28.04,23.01,9.74,10.87
금융수익,6.71,5.23,6.19,2.49,1.79
이자수익,2.59,3.07,2.74,0.93,0.64
배당금수익,2.50,0.86,0.96,1.28,0.96
외환이익,1.12,0.55,2.26,0.21,0.08
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.50,0.0,0.03,0.05,0.0
금융자산평가이익,0.0,0.75,0.22,0.02,0.12
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,15.72,18.83,18.31,3.90,4.39
이자비용,14.57,17.93,17.95,3.90,4.32
외환손실,1.15,0.90,0.34,0.01,0.08
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.03,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,5.32,5.47,67.83,0.68,2.78
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.81,0.86,62.00,0.12,1.11
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.42,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.28,0.01,1.28
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.51,4.19,5.56,0.55,0.39
기타비용,11.65,3.04,8.97,0.38,1.09
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.06,0.45,0.07,0.10,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.28,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.00,0.01,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,11.59,2.58,8.62,0.28,1.08
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,6.21,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,6.21,0.0,0.0
세전계속사업이익,-14.72,-39.22,75.96,8.63,9.96
법인세비용,13.57,-3.66,9.10,1.04,-1.66
계속영업이익,-28.29,-35.55,66.86,7.59,11.62
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-28.29,-35.55,66.86,7.59,11.62
지배주주순이익,-28.29,-35.55,66.86,7.59,11.62
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
