IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,249.14",947.72,572.36,128.27,156.91
매출원가,"1,539.83","1,207.19",609.49,127.85,156.53
매출총이익,-290.69,-259.47,-37.13,0.42,0.38
판매비와관리비,59.77,66.01,47.70,11.54,10.29
인건비,36.72,26.43,24.65,5.51,8.10
유무형자산상각비,3.34,4.09,4.06,0.83,1.10
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.53,0.59,0.26,0.01,0.14
판매비,-2.28,22.61,9.46,3.20,-1.25
관리비,21.26,12.01,9.08,1.97,2.14
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.21,0.27,0.18,0.03,0.07
영업이익,-350.46,-325.48,-84.83,-11.12,-9.90
영업이익(발표기준),-350.46,-325.48,-84.83,-11.12,-9.90
금융수익,21.37,109.74,103.70,23.75,26.28
이자수익,21.37,109.74,103.49,23.75,26.28
배당금수익,0.00,0.00,0.21,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.00,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,60.34,18.59,9.99,0.78,4.06
이자비용,60.34,18.59,9.99,0.78,4.06
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,"1,968.33",58.19,104.56,318.71,1.03
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,27.61,11.36,4.22,1.81,0.87
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,"1,922.79",41.26,6.14,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.58,0.18,0.41,0.02,0.03
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,2.88,80.42,316.58,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,17.35,2.51,13.38,0.31,0.13
기타비용,528.41,21.39,25.23,0.55,10.36
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,62.72,18.51,23.61,0.51,10.02
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,0.08,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,399.88,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,65.81,2.88,1.54,0.03,0.34
"종속기업,공동지배기업및관계기업관련손익",-4.21,-5.49,2.07,0.76,0.22
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-4.21,-5.49,2.07,0.76,0.22
세전계속사업이익,"1,046.28",-203.01,90.27,330.78,3.20
법인세비용,371.75,-11.07,1.14,-0.01,0.00
계속영업이익,674.53,-191.94,89.13,330.79,3.20
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,674.53,-191.94,89.13,330.79,3.20
지배주주순이익,674.53,-191.94,89.13,330.79,3.20
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
