IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,842.91","4,563.26","4,194.17",913.25,931.80
매출원가,"4,172.95","3,786.04","3,428.14",741.80,771.29
매출총이익,669.96,777.22,766.03,171.44,160.51
판매비와관리비,530.06,573.38,611.57,133.98,132.08
인건비,119.88,124.41,129.14,28.82,29.63
유무형자산상각비,34.27,44.21,41.33,8.46,11.49
연구개발비,5.21,4.99,4.95,1.14,1.02
광고선전비,26.93,33.96,44.31,11.21,9.52
판매비,273.40,281.04,302.14,61.64,58.55
관리비,69.65,83.40,88.57,22.35,21.52
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.71,1.36,1.13,0.36,0.35
영업이익,139.90,203.84,154.46,37.46,28.43
영업이익(발표기준),139.90,203.84,154.46,37.46,28.43
금융수익,41.20,45.61,52.18,13.71,17.79
이자수익,13.58,30.07,33.65,7.47,7.61
배당금수익,0.34,0.47,1.41,0.0,0.0
외환이익,14.58,6.20,12.32,1.23,3.05
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,12.69,8.87,4.80,5.01,7.13
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,29.25,19.67,22.06,2.39,2.21
이자비용,1.66,2.36,2.19,0.40,0.61
외환손실,10.55,6.23,3.72,1.04,0.51
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,17.03,11.08,16.16,0.94,1.09
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,13.24,7.69,7.64,1.14,2.77
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,7.94,1.42,1.18,0.0,0.55
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.30,6.27,6.46,1.14,2.22
기타비용,7.06,9.19,2.41,0.64,0.39
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,0.15,0.10,0.00,0.10
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,5.17,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,7.02,3.86,2.31,0.64,0.29
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,158.03,228.29,189.80,49.29,46.40
법인세비용,37.35,54.09,46.32,10.46,9.30
계속영업이익,120.68,174.20,143.48,38.82,37.10
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,120.68,174.20,143.48,38.82,37.10
지배주주순이익,120.24,169.64,136.48,37.95,33.49
비지배주주순이익,0.44,4.56,7.00,0.88,3.61
