IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,099.57","3,620.72","2,901.84",663.04,692.63
매출원가,"3,506.87","2,992.30","2,562.91",581.62,595.12
매출총이익,592.70,628.42,338.94,81.42,97.52
판매비와관리비,334.26,316.85,318.56,76.91,77.62
인건비,63.84,66.57,77.03,21.13,20.84
유무형자산상각비,10.37,9.43,8.66,3.37,2.16
연구개발비,4.24,0.0,0.0,0.0,0.0
광고선전비,8.21,7.94,6.22,2.16,2.29
판매비,188.64,158.55,155.77,37.34,40.40
관리비,58.09,61.83,58.15,9.69,8.37
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.86,12.53,12.73,3.23,3.57
영업이익,258.44,311.57,20.38,4.51,19.90
영업이익(발표기준),258.44,311.57,20.38,4.51,19.90
금융수익,2.66,19.51,41.86,12.63,7.79
이자수익,2.34,8.66,16.77,4.74,1.35
배당금수익,0.0,0.0,0.04,0.0,0.0
외환이익,0.0,0.0,25.04,7.89,6.45
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.32,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,10.86,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,278.28,232.76,138.84,32.19,31.61
이자비용,237.32,216.25,106.71,24.88,26.57
외환손실,0.0,0.0,25.13,5.56,3.29
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,-0.01,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,27.31,0.0,0.0,0.0,0.0
기타금융원가,13.65,16.52,7.00,1.75,1.75
기타수익,77.57,28.22,54.56,4.43,3.54
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,31.47,21.39,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,37.26,0.25,44.16,0.17,0.30
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,1.91,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.50,2.63,2.46,0.0,0.74
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,1.90,0.0,1.90
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.43,3.94,6.04,4.25,0.61
기타비용,43.28,28.09,72.08,1.12,1.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,40.72,25.13,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.75,1.98,0.0,0.00
자산평가손실,0.0,0.29,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.13,0.86,0.01,-0.01,0.0
기타,2.42,1.05,70.08,1.13,1.07
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,17.11,98.44,-94.13,-11.75,-1.45
법인세비용,35.40,-53.88,2.70,7.01,2.77
계속영업이익,-18.29,152.32,-96.83,-18.76,-4.22
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-18.29,152.32,-96.83,-18.76,-4.22
지배주주순이익,-18.29,152.32,-96.84,-18.76,-4.22
비지배주주순이익,0.01,0.00,0.01,0.00,0.00
