IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
순이자손익,494.10,130.72,259.29,59.77,45.88
순수수료손익,"1,299.09",933.16,686.11,191.26,172.07
금융상품관련손익,365.66,288.18,185.88,264.67,194.25
위험회피회계파생상품관련손익,-364.73,485.49,455.74,0.0,0.0
외환거래(환율변동)손익,5.95,2.06,0.0,0.0,0.0
금융자산관련손익,-31.99,-52.81,-337.75,-43.48,-20.82
기타영업손익,77.48,69.35,57.03,54.78,49.08
순영업수익,"1,845.56","1,856.14","1,306.31",527.00,440.46
판매비와관리비,"1,241.05","1,165.05",939.57,303.62,242.46
영업이익,604.51,691.09,366.74,223.38,197.99
영업외수익,19.55,50.26,54.98,13.84,27.31
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
상각채권추심이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
유가증권처분이익,0.0,0.0,0.0,0.0,0.0
유가증권손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련이익",0.88,31.46,32.68,0.66,23.35
자산처분이익,0.04,3.01,0.0,0.17,0.0
자산재평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
사채상환이익,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
수입수수료,0.0,0.0,0.0,0.0,0.0
임대료,17.92,15.01,13.64,3.07,3.67
자산수증이익,0.0,0.0,0.0,0.0,0.0
보험차익,0.0,0.0,0.0,0.0,0.0
법인세환급액,0.0,0.0,0.0,0.0,0.0
전기오류수정이익,0.0,0.0,0.0,0.0,0.0
퇴직연금운용이익,0.0,0.0,0.0,0.0,0.0
보험수리적이익,0.0,0.0,0.0,0.0,0.0
기타영업외수익,0.71,0.78,8.66,9.94,0.29
영업외비용,7.80,5.00,9.72,0.40,0.29
이자비용,0.0,0.0,0.0,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
유가증권처분손실,0.0,0.0,0.0,0.0,0.0
유가증권손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손실",3.43,1.63,4.98,0.40,0.28
자산처분손실,0.00,0.24,0.11,0.00,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
자산재평가손실,0.0,0.0,0.0,0.0,0.0
사채상환손실,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,1.22,0.0,0.0
지급수수료,0.0,0.0,0.0,0.0,0.0
기부금,2.49,2.98,1.44,0.0,0.0
법인세추납액,0.0,0.0,0.0,0.0,0.0
전기오류수정손실,0.0,0.0,0.0,0.0,0.0
퇴직연금운용손실,0.0,0.0,0.0,0.0,0.0
보험수리적손실,0.0,0.0,0.0,0.0,0.0
기타영업외비용,1.87,0.16,1.96,0.0,0.00
세전계속사업이익,616.25,736.35,412.01,236.82,225.02
법인세비용,193.12,163.28,102.48,53.67,53.58
계속영업이익,423.14,573.07,309.53,183.15,171.43
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,423.14,573.07,309.53,183.15,171.43
지배주주순이익,423.10,573.01,309.46,183.13,171.40
비지배주주순이익,0.04,0.06,0.07,0.02,0.03
