IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,518.32,519.55,442.94,113.57,121.69
매출원가,272.13,289.82,245.20,76.08,70.32
매출총이익,246.19,229.73,197.74,37.49,51.38
판매비와관리비,385.80,410.10,346.03,82.44,72.91
인건비,42.45,50.38,78.96,11.57,11.31
유무형자산상각비,9.69,1.67,4.12,0.0,0.23
연구개발비,3.27,22.79,12.89,7.84,1.46
광고선전비,2.19,2.28,1.52,0.56,0.41
판매비,2.81,1.47,-0.55,1.95,-4.01
관리비,325.34,331.50,249.06,60.52,63.48
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.06,0.0,0.02,0.00,0.02
영업이익,-139.61,-180.37,-148.29,-44.96,-21.53
영업이익(발표기준),-139.61,-180.37,-148.29,-44.96,-21.53
금융수익,60.25,28.45,62.31,429.85,6.61
이자수익,7.27,8.07,8.10,2.78,1.44
배당금수익,0.15,0.15,0.15,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.00,4.10,0.0,4.10
금융자산평가이익,49.80,20.24,49.97,427.07,1.08
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,3.04,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,123.94,4.02,24.57,6.77,30.64
이자비용,1.11,0.73,2.31,0.63,0.39
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,49.07,0.0,0.40,0.01,0.0
금융자산평가손실,73.75,2.33,21.86,6.12,30.25
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.96,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.47,5.70,6.30,0.49,4.90
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.32,0.12,0.22,0.0,0.16
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.38,0.07,0.22,0.0,0.22
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,1.02,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.77,4.48,5.85,0.49,4.52
기타비용,51.10,86.50,36.67,6.13,7.44
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.17,0.0,0.0,0.02,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.48,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,46.20,85.23,14.54,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,2.23,0.05,13.86,6.11,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.02,1.22,8.27,0.00,7.44
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-250.93,-236.75,-140.92,372.48,-48.10
법인세비용,0.0,11.37,0.0,0.0,0.0
계속영업이익,-250.93,-248.12,-140.92,372.48,-48.10
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-250.93,-248.12,-140.92,372.48,-48.10
