IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,109.55,92.12,115.71,27.06,33.22
매출원가,104.65,89.06,104.58,25.36,28.86
매출총이익,4.89,3.06,11.12,1.70,4.35
판매비와관리비,10.14,11.17,20.07,4.87,4.80
인건비,6.59,6.80,7.79,2.00,2.31
유무형자산상각비,0.51,0.53,0.55,0.16,0.13
연구개발비,1.29,1.33,1.35,0.33,0.30
광고선전비,0.00,0.0,0.43,0.14,0.04
판매비,0.32,0.87,7.99,1.60,1.38
관리비,1.43,1.63,1.96,0.65,0.63
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.01,0.00,0.01,0.00
영업이익,-5.25,-8.11,-8.94,-3.18,-0.45
영업이익(발표기준),-5.25,-8.11,-8.94,-3.18,-0.45
금융수익,5.68,9.00,20.09,4.65,4.77
이자수익,5.65,8.99,20.07,4.65,4.77
배당금수익,0.03,0.01,0.02,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.34,0.48,0.10,0.0,0.10
이자비용,0.34,0.48,0.10,0.0,0.10
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.54,1.40,1.87,0.85,0.34
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.01,0.0,0.27,0.04,0.09
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,3.90,0.00,0.03,0.02,0.00
자산처분(폐기)이익,0.06,0.14,0.02,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.52,0.52,0.52,0.13,0.13
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.11,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.05,0.63,1.02,0.66,0.12
기타비용,0.21,2.37,0.55,0.16,0.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.07,0.0,0.08,0.15,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.01,0.01,0.0,0.01,0.0
당기손익-공정가치측정 금융자산평가손실,0.13,2.36,0.33,0.00,0.12
자산처분(폐기)손실,0.0,0.0,0.14,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,4.43,-0.56,12.37,2.16,4.44
법인세비용,9.42,-0.29,0.44,0.04,1.77
계속영업이익,-4.98,-0.27,11.93,2.12,2.68
중단영업이익,-8.62,-0.56,162.76,0.0,162.88
당기순이익,-13.61,-0.82,174.69,2.12,165.55
