IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"43,863.33","40,834.81","36,360.63","8,999.02","9,530.55"
매출원가,"40,405.02","36,774.34","33,780.39","8,249.96","8,788.66"
매출총이익,"3,458.31","4,060.47","2,580.24",749.07,741.89
판매비와관리비,"2,179.75","2,093.57","2,056.92",568.04,529.15
인건비,731.76,680.32,716.90,199.66,180.97
유무형자산상각비,79.89,86.77,82.87,22.11,23.17
연구개발비,69.70,68.53,59.64,14.60,17.85
광고선전비,7.82,11.58,9.76,4.64,1.17
판매비,787.08,622.11,562.64,138.40,147.66
관리비,451.83,515.14,513.53,154.66,138.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,51.66,109.10,111.58,33.97,19.93
영업이익,"1,278.56","1,966.90",523.32,181.03,212.75
영업이익(발표기준),"1,278.56","1,966.90",523.32,181.03,212.75
금융수익,584.83,406.90,830.07,116.60,229.34
이자수익,34.83,44.64,69.47,15.08,14.23
배당금수익,28.32,22.50,23.15,12.49,10.86
외환이익,383.12,255.57,369.71,73.38,90.81
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,10.26,24.38,2.15,0.0
금융자산평가이익,14.12,0.91,39.37,0.39,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,124.44,73.02,304.00,13.11,113.43
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,776.75,739.41,835.77,182.58,233.39
이자비용,261.24,329.59,344.06,104.76,82.21
외환손실,477.31,292.05,460.65,57.79,150.63
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.01,93.27,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,38.19,24.50,31.08,20.03,0.55
기타금융원가,0.0,0.0,-0.01,-0.00,0.0
기타수익,39.79,150.57,69.33,28.86,7.85
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,4.46,51.20,5.29,0.63,0.10
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,1.84,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,18.92,12.36,12.95,5.24,5.25
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.40,0.0,0.0,0.0
기타,16.41,86.61,49.25,22.99,2.50
기타비용,17.52,159.74,317.39,42.59,6.28
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,9.70,15.54,19.47,6.16,1.13
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,94.66,196.32,18.26,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.45,0.0,0.0,0.0
충당부채전입액,0.0,0.0,48.42,11.25,0.0
기타,7.82,49.09,53.19,6.92,5.15
"종속기업,공동지배기업및관계기업관련손익",47.76,-72.38,-37.33,-12.71,-6.03
지분법손익,47.76,-72.38,-37.33,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,-12.71,-6.03
세전계속사업이익,"1,156.67","1,552.84",232.23,88.61,204.23
법인세비용,273.56,292.93,29.50,28.57,43.67
계속영업이익,883.11,"1,259.91",202.73,60.04,160.56
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,883.11,"1,259.91",202.73,60.04,160.56
지배주주순이익,909.76,"1,282.58",202.37,60.94,161.20
비지배주주순이익,-26.66,-22.67,0.36,-0.91,-0.64
