IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,362.93","5,749.76","4,624.26",49.50,"1,163.71"
매출원가,"4,761.63","6,105.32","5,081.95",295.58,"1,183.66"
매출총이익,-398.71,-355.57,-457.69,-246.08,-19.95
판매비와관리비,409.13,425.95,668.09,47.80,115.84
인건비,132.06,131.87,130.34,24.55,42.48
유무형자산상각비,12.15,12.52,15.41,3.79,3.61
연구개발비,8.86,5.63,5.66,1.37,1.47
광고선전비,19.55,0.0,0.0,0.0,0.0
판매비,74.08,76.16,383.56,0.0,-1.97
관리비,162.30,192.24,126.83,13.48,66.11
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.12,7.54,6.29,4.60,4.14
영업이익,-807.83,-781.52,"-1,125.78",-293.88,-135.79
영업이익(발표기준),-807.83,-781.52,"-1,125.78",-293.88,-135.79
금융수익,22.76,59.71,29.38,1.38,16.19
이자수익,17.42,40.15,17.55,0.0,0.0
배당금수익,3.32,1.82,1.52,0.0,0.0
외환이익,0.12,0.07,3.16,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,7.68,0.0,0.0,0.0
금융자산평가이익,0.72,2.43,0.66,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,5.72,5.27,0.0,0.0
기타금융수익,1.19,1.84,1.23,1.38,16.19
금융원가,99.85,155.58,149.58,5.98,38.85
이자비용,67.27,115.65,133.84,0.0,0.0
외환손실,2.76,1.95,0.32,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.71,0.0,0.0,0.0
금융자산평가손실,28.63,35.43,12.29,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,1.50,0.0,0.0
기타금융원가,1.19,1.84,1.62,5.98,38.85
기타수익,116.82,36.58,55.20,3.45,1.50
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,18.86,3.54,5.55,0.0,0.0
자산평가이익,26.40,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,3.78,8.01,0.25,0.0,0.0
충당부채환입액,17.43,1.64,5.78,0.0,0.0
기타,50.36,23.38,43.63,3.45,1.50
기타비용,89.61,261.60,86.89,1.55,4.31
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.18,0.35,16.75,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,14.90,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,63.21,166.58,6.91,0.0,0.0
충당부채전입액,5.15,8.83,28.57,0.0,0.0
기타,21.08,70.94,34.66,1.55,4.31
"종속기업,공동지배기업및관계기업관련손익",0.07,0.0,0.0,0.0,0.0
지분법손익,0.07,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-857.65,"-1,102.41","-1,277.65",-296.57,-161.25
법인세비용,35.82,7.67,0.02,0.00,0.02
계속영업이익,-893.47,"-1,110.08","-1,277.67",-296.57,-161.27
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-893.47,"-1,110.08","-1,277.67",-296.57,-161.27
지배주주순이익,-893.18,"-1,104.91","-1,277.07",-296.57,-161.26
비지배주주순이익,-0.29,-5.17,-0.60,-0.00,-0.01
