IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
순이자손익,322.34,130.33,226.18,66.39,63.65
순수수료손익,"1,199.68",830.77,857.99,318.85,174.60
금융상품관련손익,-24.05,516.79,654.89,255.17,226.54
위험회피회계파생상품관련손익,0.0,0.0,0.0,0.0,0.0
외환거래(환율변동)손익,0.0,0.88,26.74,8.87,3.37
금융자산관련손익,0.0,0.0,-0.23,0.0,0.0
기타영업손익,89.51,58.68,30.80,8.46,31.45
순영업수익,"1,587.47","1,537.45","1,796.38",657.74,499.60
판매비와관리비,"1,215.51","1,074.50","1,251.88",363.96,303.14
영업이익,371.97,462.95,544.49,293.78,196.47
영업외수익,7.01,32.65,41.56,2.84,4.78
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
상각채권추심이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
유가증권처분이익,0.0,0.0,0.0,0.0,0.0
유가증권손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련이익",0.0,14.64,25.16,1.36,3.14
자산처분이익,0.0,0.02,0.0,0.0,0.0
자산재평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.12,0.12,0.12,0.0,0.0
사채상환이익,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
수입수수료,0.0,0.0,0.0,0.0,0.0
임대료,6.06,6.35,5.74,1.43,1.47
자산수증이익,0.0,0.0,0.0,0.0,0.0
보험차익,0.0,0.0,0.0,0.0,0.0
법인세환급액,0.0,0.0,0.0,0.0,0.0
전기오류수정이익,0.0,0.0,0.0,0.0,0.0
퇴직연금운용이익,0.0,0.0,0.0,0.0,0.0
보험수리적이익,0.0,0.0,0.0,0.0,0.0
기타영업외수익,0.83,11.54,10.54,0.05,0.17
영업외비용,23.66,26.25,53.37,10.09,23.39
이자비용,0.0,0.0,0.0,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
유가증권처분손실,0.0,0.0,0.0,0.0,0.0
유가증권손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손실",0.0,3.30,27.86,9.82,0.31
자산처분손실,0.03,0.01,0.38,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
자산재평가손실,0.0,0.0,0.0,0.0,0.0
사채상환손실,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
지급수수료,0.0,0.0,0.0,0.0,0.0
기부금,18.92,22.07,22.31,0.27,20.28
법인세추납액,0.0,0.0,0.0,0.0,0.0
전기오류수정손실,4.61,0.0,0.0,0.0,0.0
퇴직연금운용손실,0.0,0.0,0.0,0.0,0.0
보험수리적손실,0.0,0.0,0.0,0.0,0.0
기타영업외비용,0.10,0.87,2.81,0.00,2.80
세전계속사업이익,355.32,469.35,532.69,286.53,177.86
법인세비용,114.98,118.30,144.71,75.74,44.19
계속영업이익,240.33,351.04,387.98,210.79,133.67
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,240.33,351.04,387.98,210.79,133.67
지배주주순이익,240.33,347.58,387.98,210.79,133.67
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
