IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,414.20","3,123.04","3,017.61",709.52,734.56
매출원가,"2,865.92","2,599.24","2,706.17",647.84,630.74
매출총이익,548.28,523.80,311.44,61.68,103.82
판매비와관리비,291.26,295.00,317.30,69.98,70.43
인건비,43.47,47.50,45.40,10.31,12.12
유무형자산상각비,2.60,3.44,3.85,0.97,0.53
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.03,0.07,0.09,0.01,0.02
판매비,211.99,212.10,219.47,52.65,51.21
관리비,33.16,31.89,48.49,6.05,6.55
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,257.03,228.81,-5.86,-8.29,33.39
영업이익(발표기준),257.03,228.81,-5.86,-8.29,33.39
금융수익,13.91,25.66,29.25,5.66,7.09
이자수익,9.52,19.15,13.11,3.15,3.20
배당금수익,0.16,0.16,0.16,0.0,0.0
외환이익,4.23,1.58,1.59,0.38,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,1.01,0.65,0.0,0.65
금융자산평가이익,0.0,3.76,13.73,2.14,3.24
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,6.45,2.80,5.21,0.40,0.94
이자비용,0.36,0.55,0.60,0.14,0.10
외환손실,6.09,2.26,4.61,0.26,0.84
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,6.21,4.91,6.94,1.51,1.10
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.02,1.02,2.11,0.0,0.14
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,6.19,3.89,4.83,1.51,0.96
기타비용,1.22,1.03,0.85,0.12,0.09
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.80,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.42,1.03,0.85,0.12,0.09
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,269.48,255.54,24.26,-1.64,40.54
법인세비용,66.31,65.13,-9.69,0.16,8.72
계속영업이익,203.17,190.42,33.95,-1.80,31.82
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,203.17,190.42,33.95,-1.80,31.82
지배주주순이익,203.17,190.42,33.95,-1.80,31.82
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
