IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,197.51","1,207.63","1,013.57",364.50,325.62
매출원가,"1,213.17","1,160.23","1,275.94",346.27,294.15
매출총이익,-15.66,47.40,-262.37,18.23,31.47
판매비와관리비,107.60,151.74,119.95,22.73,27.33
인건비,65.07,68.63,64.30,13.47,15.90
유무형자산상각비,5.31,11.29,10.40,2.47,2.55
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.85,0.97,0.33,0.01,0.21
판매비,13.71,39.06,8.32,0.04,0.25
관리비,22.66,31.79,36.61,6.75,8.43
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-123.26,-104.34,-382.32,-4.50,4.13
영업이익(발표기준),-123.26,-104.34,-382.32,-4.50,4.13
금융수익,27.61,35.08,14.99,3.29,4.26
이자수익,21.19,14.20,8.37,2.10,2.01
배당금수익,0.90,0.41,0.70,0.0,0.36
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.21,16.18,0.19,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,5.31,4.29,5.73,1.19,1.88
금융원가,48.84,32.21,61.81,12.48,7.34
이자비용,35.02,32.06,37.41,10.25,7.34
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.0,24.37,2.22,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,13.81,0.15,0.04,0.00,0.0
기타수익,96.72,14.33,21.34,5.73,12.06
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,3.54,0.02,8.92,0.01,8.92
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,1.04,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,2.26,1.10
충당부채환입액,9.62,4.35,0.91,0.0,0.0
기타,83.56,9.95,10.47,3.46,2.04
기타비용,8.48,23.33,47.40,75.88,0.15
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,0.02,74.38,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,10.86,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.15,21.76,23.54,0.32,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,8.33,1.57,12.98,1.18,0.15
"종속기업,공동지배기업및관계기업관련손익",0.47,0.17,0.22,0.0,0.0
지분법손익,0.47,0.17,0.22,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-55.78,-110.31,-454.99,-83.83,12.96
법인세비용,28.36,-19.20,8.47,5.69,3.34
계속영업이익,-84.15,-91.11,-463.46,-89.52,9.62
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-84.15,-91.11,-463.46,-89.52,9.62
지배주주순이익,-80.48,-91.11,-463.46,-89.52,9.62
비지배주주순이익,-3.66,0.00,-0.00,0.0,0.0
