IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,240.36","4,059.46","4,281.63","1,149.67","1,003.49"
매출원가,"2,897.69","3,651.82","3,784.25","1,043.81",881.31
매출총이익,342.66,407.63,497.38,105.86,122.18
판매비와관리비,192.91,251.15,289.03,68.58,63.81
인건비,50.68,58.50,68.12,16.92,14.89
유무형자산상각비,4.32,8.14,9.04,2.49,2.24
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,2.43,2.36,4.27,1.05,0.73
판매비,93.14,122.80,145.50,40.62,30.73
관리비,42.34,59.33,62.10,7.47,15.22
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.00,0.04,0.00
영업이익,149.76,156.48,208.35,37.28,58.37
영업이익(발표기준),149.76,156.48,208.35,37.28,58.37
금융수익,9.94,26.47,27.29,6.70,6.35
이자수익,9.74,19.07,20.29,3.84,3.79
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.20,7.40,7.00,2.86,2.56
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,61.07,123.77,102.55,21.66,24.68
이자비용,37.48,123.15,102.55,21.66,24.68
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,23.59,0.62,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,73.22,27.17,49.83,8.39,10.54
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,68.31,22.59,7.14,5.42,0.34
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.18,0.00,0.03,0.02,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.73,4.58,42.66,2.96,10.20
기타비용,44.56,88.04,148.66,37.59,29.86
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,38.72,77.92,63.32,35.72,17.87
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,3.37,1.11,0.76,1.10,0.68
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,2.31,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.47,6.70,84.58,0.77,11.31
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,127.28,-1.69,34.27,-6.88,20.73
법인세비용,15.97,-5.24,9.13,-2.35,4.46
계속영업이익,111.31,3.55,25.14,-4.53,16.27
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,111.31,3.55,25.14,-4.53,16.27
지배주주순이익,111.31,3.55,25.14,-4.53,16.27
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
