IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,484.35,467.74,476.00,130.48,113.70
매출원가,401.22,410.88,432.33,114.53,96.89
매출총이익,83.12,56.86,43.68,15.95,16.80
판매비와관리비,50.30,51.81,61.60,12.90,13.07
인건비,25.77,25.78,28.41,6.61,6.77
유무형자산상각비,2.32,2.41,2.29,0.63,0.62
연구개발비,10.71,9.90,8.70,1.75,2.40
광고선전비,0.02,0.02,0.30,0.0,0.0
판매비,3.35,5.00,3.53,0.96,0.39
관리비,7.98,8.61,18.19,2.32,2.35
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.14,0.08,0.17,0.64,0.54
영업이익,32.83,5.06,-17.92,3.05,3.73
영업이익(발표기준),32.83,5.06,-17.92,3.05,3.73
금융수익,0.98,1.32,1.50,0.36,0.38
이자수익,0.28,0.29,0.72,0.17,0.21
배당금수익,0.07,0.06,0.06,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.63,0.97,0.72,0.20,0.18
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.68,1.12,0.97,0.25,0.31
이자비용,0.68,0.90,0.97,0.25,0.26
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.23,0.0,0.0,0.04
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.53,2.97,4.60,0.91,1.16
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.77,1.36,0.94,0.38,0.32
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.05,0.83,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,1.04,1.30,2.18,0.49,0.54
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.73,0.27,0.66,0.04,0.30
기타비용,2.77,0.98,2.74,0.90,0.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.90,0.96,0.90,0.18,0.07
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,0.03,0.10,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.83,0.00,1.74,0.72,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,33.89,7.24,-15.53,3.17,4.90
법인세비용,3.20,-1.34,-0.44,0.77,1.45
계속영업이익,30.69,8.58,-15.10,2.40,3.45
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,30.69,8.58,-15.10,2.40,3.45
