IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,925.13","4,768.10","4,801.91","1,159.76","1,178.28"
매출원가,"4,427.10","4,279.86","4,264.35","1,021.72","1,045.79"
매출총이익,498.03,488.24,537.56,138.04,132.49
판매비와관리비,304.51,316.42,353.96,85.38,81.77
인건비,97.40,95.47,96.07,24.42,24.25
유무형자산상각비,12.17,15.39,17.66,4.18,4.36
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.05,0.02,0.02,0.01,0.0
판매비,147.45,163.28,195.69,45.54,43.69
관리비,47.41,42.27,44.50,11.23,9.47
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.00,0.02,0.00,0.0
영업이익,193.52,171.82,183.60,52.66,50.72
영업이익(발표기준),193.52,171.82,183.60,52.66,50.72
금융수익,57.80,106.28,114.41,27.92,25.59
이자수익,44.77,91.39,94.52,22.83,23.34
배당금수익,3.49,3.31,2.93,0.0,0.08
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,3.03,2.76,6.46,0.59,0.01
금융자산평가이익,1.63,3.48,5.81,1.65,2.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,4.87,5.34,4.69,2.85,0.13
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,32.63,32.88,44.23,4.04,9.46
이자비용,7.36,10.30,9.78,1.71,3.05
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.46,0.06,0.01,0.01,0.0
금융자산평가손실,15.44,4.59,4.99,0.31,0.09
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,9.36,17.93,29.45,2.01,6.31
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,412.48,409.40,489.06,134.95,127.78
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,40.90,23.34,42.27,5.56,12.07
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,6.81,0.77,0.04,0.00,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.10,0.02,0.0,0.02,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,364.67,385.27,446.75,129.37,115.69
기타비용,56.41,34.32,27.85,9.57,5.55
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,29.48,20.73,12.95,5.52,2.96
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.44,0.0,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,-0.01,0.0,0.03,0.0,0.04
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,25.50,13.59,14.87,4.05,2.55
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,574.76,620.30,714.99,201.93,189.07
법인세비용,-2.24,69.68,89.15,21.11,19.80
계속영업이익,577.00,550.63,625.84,180.82,169.27
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,577.00,550.63,625.84,180.82,169.27
지배주주순이익,538.36,500.67,567.54,166.28,155.45
비지배주주순이익,38.64,49.96,58.30,14.54,13.82
