IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,016.42","3,204.86","3,271.69",899.87,813.74
매출원가,"2,143.10","2,202.92","2,235.83",616.99,549.17
매출총이익,873.32,"1,001.94","1,035.86",282.88,264.56
판매비와관리비,522.61,578.97,576.31,137.69,140.81
인건비,133.40,135.65,146.36,38.23,37.37
유무형자산상각비,17.66,9.96,12.59,3.33,3.02
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,26.11,44.32,35.42,7.13,4.30
판매비,91.13,96.86,105.83,27.75,25.95
관리비,246.40,282.90,266.65,58.68,68.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,7.90,9.27,9.47,2.57,2.17
영업이익,350.72,422.97,459.55,145.19,123.75
영업이익(발표기준),350.72,422.97,459.55,145.19,123.75
금융수익,11.07,19.16,21.38,5.15,5.56
이자수익,11.07,19.16,21.38,5.15,5.56
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.24,0.25,0.50,0.09,0.15
이자비용,0.24,0.25,0.50,0.09,0.15
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,64.46,73.82,73.49,20.77,14.52
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,45.01,36.80,44.45,9.84,9.85
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,3.07,0.18,0.70,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.16,0.16,0.16,0.03,0.03
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,14.60,25.32,26.76,10.46,4.45
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.62,11.37,1.42,0.43,0.18
기타비용,62.71,34.96,45.64,12.77,7.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,52.08,33.77,44.59,10.02,6.98
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.02,0.0,0.06,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,10.62,1.17,1.05,2.68,0.15
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,363.29,480.74,508.28,158.24,136.54
법인세비용,96.08,106.95,141.73,35.13,30.38
계속영업이익,267.21,373.79,366.55,123.11,106.16
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,267.21,373.79,366.55,123.11,106.16
