IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"39,538.34","39,133.42","36,750.87","9,470.08","8,826.16"
매출원가,"31,460.00","30,933.12","32,005.10","8,078.67","7,454.55"
매출총이익,"8,078.34","8,200.31","4,745.77","1,391.41","1,371.61"
판매비와관리비,"2,406.70","2,290.84","2,629.66",741.18,687.74
인건비,817.22,890.27,990.79,275.64,231.00
유무형자산상각비,87.43,118.59,135.18,38.28,30.83
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,22.49,22.43,30.05,6.83,7.26
판매비,579.10,592.47,697.39,144.41,161.37
관리비,820.64,542.09,592.58,238.88,230.47
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,79.82,124.99,183.67,37.14,26.81
영업이익,"5,671.64","5,909.46","2,116.11",650.23,683.87
영업이익(발표기준),"5,671.64","5,909.46","2,116.11",650.23,683.87
금융수익,764.43,867.57,880.05,192.10,247.92
이자수익,99.85,221.60,288.29,62.40,76.36
배당금수익,0.99,1.89,0.73,0.09,0.09
외환이익,594.74,606.30,496.20,104.83,154.49
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,2.50,7.13,1.17,0.0,0.0
금융자산평가이익,48.14,11.73,77.22,24.54,9.35
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,18.21,18.92,16.44,0.24,7.63
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,926.06,"1,209.11",806.46,187.95,228.77
이자비용,246.14,385.43,325.72,85.32,88.62
외환손실,625.49,639.80,365.31,77.22,138.30
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.04,0.04
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,7.97,0.04,0.04,0.0,0.0
금융자산평가손실,30.25,156.51,87.34,6.65,1.75
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,16.21,27.33,28.05,18.72,0.06
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,169.23,145.79,98.24,53.04,26.45
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.11,3.47,14.64,1.99,1.44
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,48.30,44.60,47.53,14.02,13.83
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,2.35,2.36,6.25,0.07,2.97
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,116.47,95.36,29.82,36.96,8.21
기타비용,357.13,93.43,49.65,15.96,5.24
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,12.04,10.06,16.58,0.40,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,278.18,39.79,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,66.91,43.58,33.07,15.56,5.24
"종속기업,공동지배기업및관계기업관련손익",-7.35,-9.21,3.77,0.61,-0.69
지분법손익,-7.35,-9.21,3.77,0.61,-0.69
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"5,314.76","5,611.08","2,242.06",692.07,723.55
법인세비용,"1,552.11","1,514.56","1,071.62",95.05,118.72
계속영업이익,"3,762.65","4,096.52","1,170.44",597.02,604.82
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"3,762.65","4,096.52","1,170.44",597.02,604.82
지배주주순이익,"2,783.74","2,836.29",428.24,463.75,428.40
비지배주주순이익,978.91,"1,260.23",742.19,133.27,176.43
