IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,663.79,626.12,598.38,449.25,406.41
매출원가,484.72,450.75,443.37,323.05,280.93
매출총이익,179.07,175.38,155.01,126.21,125.48
판매비와관리비,160.02,173.37,184.31,50.65,46.86
인건비,85.39,96.30,108.22,26.60,25.94
유무형자산상각비,10.44,10.11,7.96,2.43,2.57
연구개발비,19.60,20.34,19.78,5.26,4.30
광고선전비,5.33,5.47,4.36,1.27,0.61
판매비,9.06,9.02,8.52,4.44,4.16
관리비,30.19,32.12,35.46,10.64,9.29
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,19.05,2.01,-29.30,75.56,78.62
영업이익(발표기준),19.05,2.01,-29.30,75.56,78.62
금융수익,18.20,12.04,6.65,1.48,2.12
이자수익,7.95,7.05,4.06,0.60,1.38
배당금수익,1.10,0.94,1.02,0.00,0.0
외환이익,9.11,3.66,1.26,0.82,0.71
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.33,0.0,0.0,0.0
기타금융수익,0.04,0.05,0.31,0.05,0.03
금융원가,7.92,5.51,17.91,7.10,3.56
이자비용,1.94,1.11,9.02,5.89,0.85
외환손실,5.65,4.02,8.89,1.14,2.62
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.38,0.00,0.07,0.09
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.33,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.84,8.86,1.06,0.40,0.29
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.12,0.0,0.02,0.06,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.86,0.10,0.0,0.10
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.72,8.00,0.94,0.34,0.17
기타비용,5.86,1.48,15.80,0.51,0.46
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,1.18,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,12.89,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,3.95,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.92,1.48,1.74,0.51,0.46
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,25.30,15.92,-55.29,69.82,77.01
법인세비용,-14.06,4.28,-18.85,17.29,14.44
계속영업이익,39.36,11.63,-36.44,52.53,62.57
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,39.36,11.63,-36.44,52.53,62.57
지배주주순이익,40.15,12.77,-34.42,53.19,62.98
비지배주주순이익,-0.78,-1.14,-2.02,-0.66,-0.41
