IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,612.48,780.53,690.18,166.21,159.86
매출원가,333.13,419.67,419.70,92.49,97.35
매출총이익,279.35,360.86,270.49,73.72,62.51
판매비와관리비,265.97,440.79,365.67,83.91,96.07
인건비,84.09,182.29,105.90,20.40,28.56
유무형자산상각비,7.41,15.86,16.85,4.06,4.09
연구개발비,15.12,5.88,3.54,0.13,0.84
광고선전비,14.27,17.08,11.78,1.04,3.11
판매비,23.30,19.74,9.49,1.18,3.45
관리비,119.48,194.35,211.84,55.46,54.23
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.31,5.58,6.27,1.65,1.78
영업이익,13.38,-79.93,-95.18,-10.20,-33.55
영업이익(발표기준),13.38,-79.93,-95.18,-10.20,-33.55
금융수익,"1,151.47",121.77,161.78,42.76,27.25
이자수익,921.09,84.55,75.73,15.59,20.54
배당금수익,167.59,17.56,52.51,27.13,6.58
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,62.78,19.66,33.53,0.03,0.13
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,42.49,85.08,23.75,14.70,0.09
이자비용,0.13,0.24,0.36,0.09,0.09
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,42.36,84.85,23.38,14.61,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,323.89,9.34,77.37,2.06,8.07
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,6.85,6.00,12.23,1.90,4.29
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.02,0.13,0.09,0.0,0.07
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.35,2.35,0.0,0.0,0.59
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.01,0.0
충당부채환입액,0.0,0.0,62.73,0.0,0.0
기타,314.66,0.85,2.33,0.15,3.11
기타비용,23.28,179.55,8.59,0.69,7.93
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.55,2.35,0.47,0.69,0.43
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.04,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,172.54,0.0,0.0,0.0
기타,21.74,4.62,8.12,0.00,7.51
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,422.96",-213.45,111.63,19.23,-6.26
법인세비용,336.27,-4.04,-19.31,3.84,0.41
계속영업이익,"1,086.69",-209.41,130.94,15.39,-6.67
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"1,086.69",-209.41,130.94,15.39,-6.67
