IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"5,930.59","5,394.09","5,236.51","1,364.30","1,358.38"
매출원가,"5,285.47","4,611.69","4,352.86","1,118.40","1,115.03"
매출총이익,645.11,782.40,883.65,245.90,243.35
판매비와관리비,805.12,792.61,793.01,217.80,214.87
인건비,222.21,248.67,259.03,71.71,57.00
유무형자산상각비,68.93,75.57,84.83,20.40,20.39
연구개발비,0.64,0.58,0.67,0.10,0.01
광고선전비,43.54,30.04,25.82,8.86,11.02
판매비,241.29,224.25,240.63,66.00,61.81
관리비,82.53,104.94,99.33,25.85,27.45
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,145.99,108.56,82.70,24.88,37.19
영업이익,-160.01,-10.21,90.64,28.11,28.48
영업이익(발표기준),-160.01,-10.21,90.64,28.11,28.48
금융수익,127.42,278.39,174.02,47.60,43.69
이자수익,60.54,133.39,129.00,27.78,30.58
배당금수익,2.01,1.02,0.95,0.21,0.50
외환이익,36.33,19.54,11.53,5.79,2.82
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,11.13,67.89,14.21,3.75,2.52
금융자산평가이익,17.40,56.55,14.74,10.08,7.27
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,3.59,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,192.91,85.94,157.85,23.34,47.99
이자비용,30.74,47.77,72.59,11.46,8.08
외환손실,89.70,28.73,58.69,4.61,21.67
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,3.37,3.60,4.52,1.89,0.53
금융자산평가손실,61.89,0.63,18.01,4.39,13.80
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,2.16,1.36,0.0,0.0,2.59
기타금융원가,5.05,3.85,4.05,0.99,1.32
기타수익,"2,314.47",38.81,261.14,190.30,15.62
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,56.33,22.50,42.54,3.58,10.57
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,"2,242.24",2.06,2.69,0.37,0.08
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.23,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,1.16,3.28,3.82,0.94,0.81
대손충당금환입,0.0,2.53,161.22,184.75,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,14.51,8.45,50.86,0.66,4.15
기타비용,489.24,113.71,21.46,6.66,4.75
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,21.52,19.38,12.99,4.92,2.07
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.73,3.03,1.15,0.77,0.28
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,110.08,77.44,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,348.60,0.57,-0.16,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,7.31,13.29,7.48,0.98,2.40
"종속기업,공동지배기업및관계기업관련손익",12.29,8.09,-2.80,-6.53,0.95
지분법손익,0.0,8.09,-2.80,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,12.29,0.0,0.0,-6.53,0.95
세전계속사업이익,"1,612.03",115.43,343.69,229.48,36.01
법인세비용,465.73,18.23,53.67,39.93,2.21
계속영업이익,"1,146.29",97.20,290.02,189.55,33.81
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"1,146.29",97.20,290.02,189.55,33.81
지배주주순이익,"1,142.75",78.40,281.06,187.88,33.15
비지배주주순이익,3.54,18.79,8.96,1.67,0.65
