IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"26,065.96","22,654.90","21,218.63","5,075.01","5,543.93"
매출원가,"25,040.07","21,615.78","19,432.86","4,553.30","5,139.39"
매출총이익,"1,025.90","1,039.12","1,785.77",521.71,404.53
판매비와관리비,"2,070.54","2,032.82","2,057.42",494.63,467.32
인건비,352.41,423.80,360.95,0.0,0.0
유무형자산상각비,77.93,160.99,81.26,0.0,0.0
연구개발비,2.63,1.81,1.77,0.0,0.0
광고선전비,37.95,35.60,37.56,0.0,0.0
판매비,562.10,602.95,605.26,0.0,0.0
관리비,754.73,500.21,480.47,0.0,0.0
기타원가성비용,185.38,208.82,381.08,0.0,0.0
기타,97.41,98.64,109.07,494.63,467.32
영업이익,"-1,044.64",-993.70,-271.65,27.08,-62.79
영업이익(발표기준),"-1,044.64",-993.70,-271.65,27.08,-62.79
금융수익,954.64,888.84,"1,810.28",598.62,301.49
이자수익,79.67,127.06,179.24,53.93,47.24
배당금수익,59.82,62.85,938.60,38.45,37.30
외환이익,245.63,189.75,268.84,93.52,190.91
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,568.54,460.78,267.88,48.46,80.93
금융자산평가이익,0.98,48.40,155.72,82.57,75.19
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,281.69,-130.08
금융원가,695.81,525.55,"1,132.01",426.19,102.86
이자비용,120.70,123.11,106.08,11.13,14.53
외환손실,232.77,197.00,80.17,91.00,102.84
대손상각비,0.0,0.0,0.0,0.0,15.42
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,12.28,0.01,9.37,-6.07,-9.37
금융자산평가손실,207.21,162.63,284.50,-33.53,-49.94
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,122.85,42.80,651.89,0.0,0.0
기타금융원가,0.0,0.0,0.0,363.66,29.38
기타수익,885.92,531.67,577.58,65.14,128.37
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,790.00,416.51,488.26,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,12.88,19.42,1.30,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,1.10,1.15,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,56.07,4.13,59.64,0.0,0.0
기타,26.97,90.51,27.23,65.14,128.37
기타비용,977.41,"1,467.80",597.67,68.87,100.17
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,738.09,401.15,393.16,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.17,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,55.31,35.07,20.16,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,115.87,995.74,95.74,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.14,0.0,0.0,0.0,0.0
충당부채전입액,48.33,14.50,59.04,0.0,0.0
기타,19.67,21.17,29.57,68.87,100.17
"종속기업,공동지배기업및관계기업관련손익","3,171.39","1,578.46","2,292.79",626.53,332.87
지분법손익,"3,163.71","1,570.63",680.97,626.53,332.87
"종속기업,공동지배기업및관계기업투자주식처분손익",7.67,7.83,"1,611.82",0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"2,294.09",11.92,"2,679.33",822.32,496.91
법인세비용,-468.37,-306.06,471.70,63.95,99.51
계속영업이익,"2,762.46",317.97,"2,207.63",758.36,397.40
중단영업이익,-191.36,-464.92,-24.01,0.0,-0.36
당기순이익,"2,571.10",-146.94,"2,183.62",758.36,397.04
지배주주순이익,"2,566.58",-185.02,"2,145.31",750.00,387.19
비지배주주순이익,4.52,38.08,38.31,8.36,9.84
