IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,778.60","1,648.12","1,880.01",457.71,435.19
매출원가,"1,329.00","1,221.70","1,424.18",368.78,333.32
매출총이익,449.60,426.42,455.83,88.92,101.87
판매비와관리비,152.81,180.78,180.42,42.27,45.05
인건비,98.62,119.33,118.48,0.0,0.0
유무형자산상각비,7.91,11.56,13.74,0.0,0.0
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.39,1.20,0.88,0.0,0.0
판매비,1.17,-0.09,0.05,0.0,0.0
관리비,34.67,35.40,34.45,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,10.05,13.39,12.82,42.27,45.05
영업이익,296.79,245.63,275.41,46.65,56.81
영업이익(발표기준),296.79,245.63,275.41,46.65,56.81
금융수익,13.67,30.74,32.65,5.97,6.83
이자수익,10.74,27.56,29.90,0.0,0.0
배당금수익,2.00,3.08,2.62,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.06,0.07,0.0,0.0
금융자산평가이익,0.09,0.03,0.05,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.85,0.00,0.0,5.97,6.83
금융원가,80.61,80.43,77.82,23.79,17.66
이자비용,3.48,4.25,77.82,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.15,0.00,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,76.98,76.18,0.0,23.79,17.66
기타수익,142.49,231.28,371.94,53.68,38.44
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,108.89,67.44,119.20,53.49,38.36
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.16,0.0,0.0,0.0,0.0
자산평가이익,0.0,1.23,0.0,0.0,0.0
자산손상차손환입,0.0,158.91,251.05,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,2.24,0.42,0.15,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,31.21,3.28,1.53,0.19,0.08
기타비용,181.53,146.14,168.96,55.83,48.40
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,125.22,69.33,140.37,52.35,46.42
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,5.18,5.24,5.47,0.0,0.0
자산평가손실,9.09,0.07,14.02,0.0,0.0
자산손상차손,0.0,32.28,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,6.01,35.08,7.53,0.0,0.0
충당부채전입액,32.65,3.23,0.0,0.0,0.0
기타,3.37,0.90,1.56,3.48,1.99
"종속기업,공동지배기업및관계기업관련손익",-0.78,51.63,45.59,5.56,9.82
지분법손익,-0.78,51.63,45.59,5.56,9.82
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,190.03,332.71,478.81,32.25,45.84
법인세비용,-48.07,-14.62,79.20,1.09,1.23
계속영업이익,238.10,347.34,399.61,31.16,44.61
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,238.10,347.34,399.61,31.16,44.61
지배주주순이익,226.74,341.37,395.85,31.36,44.29
비지배주주순이익,11.35,5.96,3.76,-0.20,0.32
