IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,183.81","2,349.02","2,520.40",640.74,649.46
매출원가,"1,536.46","1,627.82","1,716.92",441.22,441.16
매출총이익,647.34,721.21,803.49,199.52,208.30
판매비와관리비,720.98,690.03,716.27,173.37,162.28
인건비,328.48,304.61,305.71,78.70,71.00
유무형자산상각비,13.93,11.82,12.24,3.11,3.08
연구개발비,143.63,119.09,116.00,23.15,24.52
광고선전비,61.71,67.62,65.56,12.37,13.77
판매비,31.81,41.02,43.02,10.65,10.08
관리비,137.62,142.29,169.97,44.31,38.99
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.79,3.57,3.78,1.08,0.84
영업이익,-73.63,31.17,87.22,26.15,46.02
영업이익(발표기준),-73.63,31.17,87.22,26.15,46.02
금융수익,0.03,0.15,2.86,0.05,0.75
이자수익,0.03,0.11,2.86,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.04,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.05,0.75
금융원가,7.37,28.75,52.71,10.48,14.35
이자비용,7.37,28.75,52.71,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,10.48,14.35
기타수익,10.06,9.26,31.64,1.90,25.48
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,5.53,7.86,5.04,1.55,0.93
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.50,0.27,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.51,0.90,26.32,0.35,24.56
기타비용,157.22,51.01,40.14,3.53,6.43
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,9.19,7.28,8.31,0.75,2.44
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,5.16,3.62,1.18,0.0,1.17
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.00,24.69,7.53,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,141.86,15.42,23.11,2.78,2.81
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-228.13,-39.18,28.87,14.09,51.47
법인세비용,-8.52,-0.42,16.54,4.33,10.55
계속영업이익,-219.61,-38.76,12.33,9.76,40.93
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-219.61,-38.76,12.33,9.76,40.93
