IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,836.73,868.72,882.20,225.52,202.14
매출원가,698.18,697.56,705.02,180.73,162.70
매출총이익,138.55,171.15,177.18,44.79,39.44
판매비와관리비,85.69,95.46,95.22,23.19,21.02
인건비,32.12,37.00,38.07,0.0,0.0
유무형자산상각비,3.72,4.67,2.25,0.0,0.0
연구개발비,0.0,0.40,0.0,0.0,0.0
광고선전비,0.31,0.33,0.40,0.0,0.0
판매비,34.43,33.70,34.70,0.0,0.0
관리비,15.11,19.36,19.80,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.00,23.19,21.02
영업이익,52.85,75.70,81.96,21.60,18.42
영업이익(발표기준),52.85,75.70,81.96,21.60,18.42
금융수익,6.56,9.52,9.12,0.54,2.18
이자수익,3.59,5.87,6.53,0.11,1.63
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.97,2.95,2.59,0.43,0.55
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.70,0.0,0.0,0.0
금융원가,6.95,7.63,8.60,1.66,1.45
이자비용,5.06,6.26,6.36,1.47,1.40
외환손실,1.89,1.38,2.25,0.19,0.06
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.27,25.42,34.17,0.22,0.70
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.36,4.23,0.08,0.04,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.91,21.18,34.09,0.19,0.68
기타비용,0.97,2.53,0.84,0.01,0.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.01,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.20,2.48,0.39,0.0,0.03
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.77,0.04,0.44,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,54.76,100.47,115.81,20.69,19.82
법인세비용,-6.60,15.51,15.35,4.53,3.79
계속영업이익,61.36,84.96,100.46,16.15,16.03
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,61.36,84.96,100.46,16.15,16.03
지배주주순이익,61.36,84.96,100.46,16.15,16.03
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
