IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"20,187.53","20,630.75","26,429.56","8,537.31","5,946.49"
매출원가,"17,582.79","17,656.89","22,746.98","7,560.31","5,018.98"
매출총이익,"2,604.74","2,973.85","3,682.58",977.00,927.51
판매비와관리비,"1,628.22","1,687.48","2,352.41",824.48,486.52
인건비,362.05,423.33,615.18,277.50,112.48
유무형자산상각비,70.39,54.15,149.99,56.75,26.60
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,49.09,82.42,169.54,66.00,31.48
판매비,820.24,839.19,983.05,264.54,238.02
관리비,152.53,219.88,326.29,112.77,58.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,173.92,68.51,108.35,46.91,19.16
영업이익,976.52,"1,286.37","1,330.17",152.52,440.99
영업이익(발표기준),976.52,"1,286.37","1,330.17",152.52,440.99
금융수익,109.25,55.68,62.16,12.28,14.52
이자수익,25.67,41.26,39.39,0.0,0.0
배당금수익,49.28,8.66,4.24,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,4.54,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.34,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,34.30,1.22,18.19,0.0,0.0
기타금융수익,0.0,0.0,0.0,12.28,14.52
금융원가,139.27,124.68,252.84,94.30,46.32
이자비용,102.77,114.97,243.91,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.02,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,19.64,9.71,8.91,0.0,0.0
기타금융원가,16.86,0.0,0.0,94.30,46.32
기타수익,120.05,171.73,122.11,40.31,18.41
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,97.82,45.87,66.26,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,13.24,9.96,11.60,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.28,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,99.28,0.42,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,8.99,16.34,43.83,40.31,18.41
기타비용,250.34,102.02,167.47,34.35,29.06
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,98.73,52.04,64.83,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,33.12,15.66,6.78,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,45.74,0.0,76.38,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,72.75,34.32,19.48,34.35,29.06
"종속기업,공동지배기업및관계기업관련손익",35.15,35.99,86.45,26.21,27.22
지분법손익,0.0,0.0,0.0,26.21,27.22
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,35.15,35.99,86.45,0.0,0.0
세전계속사업이익,851.36,"1,323.07","1,180.58",102.67,425.76
법인세비용,113.26,251.56,222.78,16.23,85.02
계속영업이익,738.10,"1,071.50",957.81,86.44,340.74
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,738.10,"1,071.50",957.81,86.44,340.74
지배주주순이익,712.48,913.38,917.98,93.33,306.24
비지배주주순이익,25.63,158.12,39.83,-6.89,34.50
