IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,643.49,647.85,585.89,163.10,149.69
매출원가,505.53,511.53,473.69,131.68,119.18
매출총이익,137.97,136.32,112.19,31.42,30.50
판매비와관리비,124.86,130.46,134.52,36.19,34.26
인건비,40.66,40.03,43.03,10.21,9.74
유무형자산상각비,8.26,6.58,6.07,1.55,1.43
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,3.59,3.01,2.02,0.47,0.34
판매비,44.97,50.07,52.45,16.41,14.51
관리비,27.38,30.78,30.95,7.54,8.24
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,13.10,5.87,-22.32,-4.77,-3.76
영업이익(발표기준),13.10,5.87,-22.32,-4.77,-3.76
금융수익,4.64,6.44,7.60,0.56,2.09
이자수익,1.83,1.56,1.66,0.30,0.28
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.11,0.02,0.08,0.03,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.33,0.12,0.0,0.0,0.0
금융자산평가이익,0.0,1.87,0.71,0.00,0.58
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,2.38,2.88,5.11,0.24,1.24
기타금융수익,0.0,0.0,0.04,0.0,0.0
금융원가,15.99,20.71,17.30,4.23,4.41
이자비용,13.79,17.25,15.89,3.39,4.06
외환손실,0.03,0.0,0.00,0.0,0.00
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.13,0.0
금융자산평가손실,1.32,0.0,0.02,0.0,0.0
금융자산손상차손,0.35,0.0,0.0,0.0,0.0
파생상품손실,0.49,0.41,1.39,0.71,0.36
기타금융원가,0.0,3.05,0.0,0.0,0.0
기타수익,7.82,3.27,2.50,0.50,0.48
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.84,0.23,0.06,0.00,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,3.18,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.28,1.09,1.48,0.39,0.31
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.74,0.0,0.0,0.0
충당부채환입액,1.24,0.0,0.0,0.0,0.0
기타,1.28,1.21,0.96,0.11,0.17
기타비용,1.16,0.58,0.35,0.11,0.11
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.01,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.18,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.98,0.57,0.35,0.11,0.11
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,8.42,-5.71,-29.87,-8.05,-5.71
법인세비용,1.66,0.02,0.0,0.0,0.0
계속영업이익,6.76,-5.73,-29.87,-8.05,-5.71
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,6.76,-5.73,-29.87,-8.05,-5.71
