IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,326.49","4,341.86","4,961.21","1,177.06","1,381.16"
매출원가,"3,611.96","3,477.71","4,000.04",983.72,"1,050.11"
매출총이익,714.53,864.14,961.16,193.34,331.05
판매비와관리비,569.86,724.89,796.78,169.65,201.56
인건비,217.03,274.83,288.99,54.76,61.95
유무형자산상각비,49.15,78.87,87.45,20.21,22.91
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,8.12,29.62,24.84,2.24,7.53
판매비,91.52,97.86,116.82,20.11,30.10
관리비,202.82,241.75,275.72,71.90,78.33
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.21,1.97,2.95,0.42,0.74
영업이익,144.67,139.26,164.39,23.69,129.49
영업이익(발표기준),144.67,139.26,164.39,23.69,129.49
금융수익,168.63,193.21,224.38,53.10,53.29
이자수익,161.97,185.83,216.80,51.59,51.95
배당금수익,3.86,4.38,4.10,0.63,0.57
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,2.81,3.00,3.48,0.87,0.76
금융원가,17.42,45.32,36.67,5.07,11.20
이자비용,17.42,45.32,36.67,5.07,11.20
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,186.78,130.86,472.56,54.10,173.50
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,177.95,118.48,433.25,51.12,116.50
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,1.20,5.57,0.0,0.07,31.25
자산처분(폐기)이익,0.01,0.84,0.56,0.09,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,1.16,0.98,0.0,0.0,25.35
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,6.47,4.99,38.74,2.82,0.39
기타비용,289.85,183.52,300.06,115.15,34.15
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,66.13,110.77,156.80,36.94,33.70
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,23.62,2.12,2.50,6.98,0.0
자산처분(폐기)손실,24.38,0.76,32.88,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,5.19,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,172.11,63.13,83.51,68.18,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.60,6.74,19.17,3.05,0.45
"종속기업,공동지배기업및관계기업관련손익",5.45,-2.37,-1.61,0.31,-0.20
지분법손익,5.45,-2.37,-1.61,0.31,-0.20
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,198.27,232.12,522.99,10.98,310.72
법인세비용,56.32,60.47,121.30,-1.90,74.99
계속영업이익,141.95,171.65,401.69,12.88,235.73
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,141.95,171.65,401.69,12.88,235.73
지배주주순이익,141.95,171.65,396.04,10.72,234.79
비지배주주순이익,0.00,0.00,5.65,2.16,0.94
