IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,014.44","2,027.75","1,966.78",461.98,484.79
매출원가,789.85,859.10,815.11,193.60,205.48
매출총이익,"1,224.59","1,168.65","1,151.67",268.38,279.32
판매비와관리비,"1,158.45","1,147.08","1,124.11",248.62,265.11
인건비,225.91,226.01,228.89,56.52,58.42
유무형자산상각비,31.04,27.46,26.85,6.11,6.65
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,64.67,66.31,63.52,12.80,14.47
판매비,53.78,57.74,58.07,13.29,13.49
관리비,783.06,769.57,746.78,159.89,172.08
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,66.14,21.57,27.56,19.76,14.21
영업이익(발표기준),66.14,21.57,27.56,19.76,14.21
금융수익,36.47,39.43,35.76,7.18,9.17
이자수익,35.99,39.02,35.32,7.18,9.17
배당금수익,0.48,0.41,0.45,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,7.35,3.18,1.91,0.50,0.56
이자비용,7.35,3.18,1.91,0.50,0.56
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,139.03,15.76,8.72,2.36,3.50
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.52,0.34,0.72,0.14,0.15
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,125.73,0.02,0.03,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,7.15,10.29,4.69,1.20,2.67
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.63,5.11,3.28,1.02,0.67
기타비용,5.39,4.88,7.14,0.22,0.73
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.52,1.42,0.98,0.13,0.23
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.60,0.06,0.09,0.07,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,2.33,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.27,3.40,3.74,0.02,0.50
"종속기업,공동지배기업및관계기업관련손익",11.94,-4.94,-4.71,-2.20,-1.27
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,11.94,-4.94,-4.71,-2.20,-1.27
세전계속사업이익,240.83,63.76,58.28,26.39,24.33
법인세비용,5.80,13.68,19.26,6.45,5.28
계속영업이익,235.02,50.09,39.02,19.94,19.05
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,235.02,50.09,39.02,19.94,19.05
지배주주순이익,235.02,50.09,39.02,19.94,19.05
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
