IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,876.71","4,067.29","4,493.94",978.60,922.33
매출원가,"2,794.06","3,103.78","3,131.32",732.91,694.65
매출총이익,"1,082.66",963.50,"1,362.62",245.69,227.68
판매비와관리비,281.05,285.13,315.13,75.50,73.41
인건비,164.08,167.86,194.90,46.67,43.19
유무형자산상각비,16.20,17.14,16.13,4.04,3.95
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,19.49,17.87,14.31,1.73,5.52
판매비,28.15,28.69,38.68,8.07,6.49
관리비,45.08,48.33,44.62,13.95,13.08
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.05,5.24,6.49,1.04,1.18
영업이익,801.60,678.38,"1,047.50",170.19,154.27
영업이익(발표기준),801.60,678.38,"1,047.50",170.19,154.27
금융수익,8.15,11.21,9.44,3.38,2.39
이자수익,3.28,6.65,6.27,1.34,1.86
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.86,4.55,3.16,2.04,0.53
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,23.36,28.23,33.08,7.53,8.73
이자비용,20.88,27.17,31.84,7.46,8.53
외환손실,2.48,1.06,1.24,0.07,0.20
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,144.59,53.31,69.54,12.36,14.77
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,36.12,22.34,35.46,6.52,8.24
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.59,0.38,0.58,0.04,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,3.19,1.84,1.24,0.0,1.23
임대료수익,1.57,0.92,0.92,0.23,0.23
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,103.12,27.82,31.34,5.57,5.07
기타비용,50.43,60.92,32.79,6.19,9.64
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,31.06,22.21,19.00,4.62,3.78
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,2.00,0.00,0.0,0.0
자산평가손실,0.36,0.0,0.0,0.0,0.0
자산손상차손,0.0,22.95,0.67,0.0,0.0
파생상품손실,5.88,2.66,2.35,0.0,1.93
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,13.09,11.10,10.77,1.57,3.93
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,880.55,653.74,"1,060.60",172.21,153.06
법인세비용,148.20,-180.13,61.08,8.15,10.25
계속영업이익,732.36,833.87,999.52,164.06,142.81
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,732.36,833.87,999.52,164.06,142.81
지배주주순이익,731.17,831.60,996.68,164.44,142.98
비지배주주순이익,1.19,2.27,2.83,-0.38,-0.17
