IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,224.71","2,288.44","2,308.01",351.64,295.35
매출원가,"1,898.30","1,882.36","1,941.09",328.74,242.25
매출총이익,326.40,406.08,366.91,22.90,53.10
판매비와관리비,199.79,232.47,275.57,58.96,67.21
인건비,112.45,118.36,136.10,37.62,35.99
유무형자산상각비,8.22,8.61,9.20,2.28,2.26
연구개발비,42.69,58.21,86.09,8.16,20.24
광고선전비,3.00,11.27,5.23,0.22,0.27
판매비,0.0,0.0,0.0,0.0,0.0
관리비,21.38,21.90,24.85,7.45,5.06
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,12.05,14.12,14.09,3.23,3.39
영업이익,126.61,173.61,91.34,-36.06,-14.11
영업이익(발표기준),126.61,173.61,91.34,-36.06,-14.11
금융수익,6.98,26.87,23.42,4.46,10.41
이자수익,6.98,26.87,23.42,4.46,10.41
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.88,1.40,1.20,0.07,0.33
이자비용,1.88,1.40,1.20,0.07,0.33
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,18.80,45.07,38.26,2.88,5.93
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,18.17,15.56,17.64,2.04,4.78
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.42,0.50,0.54,0.50
자산처분(폐기)이익,0.0,0.02,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.27,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.63,29.06,19.84,0.30,0.65
기타비용,20.29,15.24,15.11,13.43,1.93
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,19.49,13.79,9.94,3.32,1.91
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.02,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.07,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.73,1.44,5.16,10.11,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,130.23,228.91,136.71,-42.21,-0.04
법인세비용,37.64,50.15,29.26,2.06,-0.16
계속영업이익,92.59,178.76,107.44,-44.27,0.12
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,92.59,178.76,107.44,-44.27,0.12
