IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"20,017.86","19,954.88","19,162.31","4,006.28","5,065.89"
매출원가,"19,168.10","19,397.81","18,535.42","3,752.60","4,816.94"
매출총이익,849.76,557.07,626.89,253.68,248.95
판매비와관리비,"1,020.43","1,117.25","1,141.34",253.52,276.49
인건비,244.08,279.27,287.88,69.90,65.37
유무형자산상각비,58.82,61.93,60.78,15.64,17.01
연구개발비,165.57,182.80,129.95,22.22,36.23
광고선전비,2.72,6.60,6.43,1.13,0.92
판매비,185.42,170.91,209.94,39.05,39.73
관리비,363.27,415.11,445.77,102.94,117.08
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.55,0.64,0.60,2.64,0.16
영업이익,-170.67,-560.18,-514.45,0.16,-27.54
영업이익(발표기준),-170.67,-560.18,-514.45,0.16,-27.54
금융수익,507.17,511.51,929.86,100.90,408.03
이자수익,34.40,55.29,52.98,0.0,0.0
배당금수익,3.81,2.70,7.41,0.0,0.0
외환이익,250.50,255.60,333.67,0.0,0.0
대손충당금환입액,40.17,0.06,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.50,0.0,0.0
금융자산평가이익,1.99,78.40,318.22,0.0,0.0
금융자산손상차손환입,0.0,7.20,0.0,0.0,0.0
파생상품이익,172.22,106.08,214.20,0.0,0.0
기타금융수익,4.08,6.18,2.87,100.90,408.03
금융원가,533.60,608.44,898.00,231.84,313.31
이자비용,212.13,342.15,354.97,0.0,0.0
외환손실,230.76,194.83,183.55,0.0,0.0
대손상각비,0.0,0.0,1.70,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,1.23,2.64,3.45,0.0,0.0
금융자산손상차손,0.0,5.76,0.0,0.0,0.0
파생상품손실,69.87,32.81,155.57,0.0,0.0
기타금융원가,19.60,30.25,198.76,231.84,313.31
기타수익,38.67,328.65,15.31,14.24,2.97
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.84,20.24,4.00,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,4.64,0.0,0.17,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,2.52,2.20,0.19,0.0,0.0
대손충당금환입,0.00,0.0,2.96,0.0,0.0
충당부채환입액,5.09,0.03,0.0,0.0,0.0
기타,25.59,306.17,7.99,14.24,2.97
기타비용,67.80,22.20,76.66,4.87,2.92
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.19,1.01,2.13,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,15.17,0.0,37.38,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,15.35,22.56,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,48.44,5.83,14.59,4.87,2.92
"종속기업,공동지배기업및관계기업관련손익",66.67,-18.43,10.64,4.96,-4.53
지분법손익,66.67,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,-18.43,10.64,4.96,-4.53
세전계속사업이익,-159.56,-369.09,-533.31,-116.45,62.71
법인세비용,3.11,26.96,-151.22,21.71,71.84
계속영업이익,-162.67,-396.05,-382.09,-138.16,-9.13
중단영업이익,425.00,115.30,0.0,0.0,0.0
당기순이익,262.34,-280.75,-382.09,-138.16,-9.13
지배주주순이익,277.27,-312.70,-474.19,-75.34,102.91
비지배주주순이익,-14.94,31.95,92.10,-62.83,-112.04
