IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,120.56","2,680.23","2,517.33",660.96,633.19
매출원가,"2,734.83","2,475.72","2,424.13",643.79,604.11
매출총이익,385.73,204.52,93.21,17.17,29.08
판매비와관리비,160.02,166.81,189.11,42.18,45.41
인건비,66.17,71.57,79.58,20.40,18.61
유무형자산상각비,4.43,19.58,25.43,6.34,6.33
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,43.54,32.79,41.02,7.11,8.47
관리비,30.05,27.02,27.86,5.32,6.18
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,15.83,15.85,15.22,3.01,5.82
영업이익,225.71,37.71,-95.91,-25.02,-16.33
영업이익(발표기준),225.71,37.71,-95.91,-25.02,-16.33
금융수익,0.53,26.12,19.67,2.40,6.37
이자수익,0.53,26.12,19.67,2.40,6.37
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,27.49,22.16,46.43,11.89,5.33
이자비용,26.70,22.15,45.53,11.89,5.33
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.36,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.01,0.90,0.0,0.0
금융자산평가손실,0.43,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,78.73,50.53,48.84,11.36,14.61
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,68.77,42.33,43.63,10.05,12.92
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.83,0.10,0.12,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.08,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,9.05,8.10,5.09,1.31,1.68
기타비용,67.19,79.19,25.15,13.99,4.30
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,56.65,41.27,22.45,13.30,3.17
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,6.65,27.70,0.02,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,6.61,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.89,3.61,2.69,0.69,1.13
"종속기업,공동지배기업및관계기업관련손익",0.18,-1.09,-4.29,-0.98,-0.98
지분법손익,0.18,-1.09,-4.29,-0.98,-0.98
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,210.47,11.92,-103.27,-38.10,-5.96
법인세비용,38.40,-22.14,-9.72,0.99,-1.12
계속영업이익,172.07,34.06,-93.55,-39.09,-4.84
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,172.07,34.06,-93.55,-39.09,-4.84
지배주주순이익,172.07,34.06,-93.55,-39.09,-4.84
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
