IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"87,171.15","89,392.17","90,396.03","24,061.22","21,585.27"
매출원가,"78,850.47","78,227.74","79,832.10","20,709.81","19,204.39"
매출총이익,"8,320.68","11,164.43","10,563.93","3,351.41","2,380.87"
판매비와관리비,"4,698.39","8,597.41","8,838.35","2,244.54","1,986.19"
인건비,"1,810.91","2,880.40","3,110.28",906.25,722.84
유무형자산상각비,651.75,"1,530.20","1,206.63",351.20,267.13
연구개발비,321.37,"1,347.25","1,238.44",233.34,286.97
광고선전비,149.33,298.46,295.68,80.41,70.36
판매비,391.61,560.05,675.41,171.17,157.72
관리비,"1,333.24","1,896.57","2,225.08",480.82,459.18
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,40.19,84.48,86.82,21.35,21.98
영업이익,"3,622.29","2,567.02","1,725.58","1,106.87",394.69
영업이익(발표기준),"3,622.29","2,567.02","1,725.58","1,106.87",394.69
금융수익,"9,253.78","7,962.04","5,792.50","1,432.04","1,722.76"
이자수익,83.74,436.43,550.70,139.50,128.69
배당금수익,1.88,13.73,14.31,14.48,14.31
외환이익,"2,130.17","1,740.02","1,209.54",296.77,251.80
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,456.76,344.12,247.08,22.24,28.70
금융자산평가이익,80.69,82.78,165.48,85.54,83.98
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,"6,500.53","5,344.97","3,605.38",873.51,"1,215.29"
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,"8,268.73","6,202.52","6,344.37","1,595.78","1,962.91"
이자비용,905.06,"1,549.74","1,713.96",616.31,377.30
외환손실,"3,191.18","1,957.40","1,772.55",330.33,496.55
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,25.23,60.55,20.85,9.48,0.0
금융자산평가손실,33.61,63.13,161.40,9.50,10.59
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,"3,990.40","2,465.27","2,568.85",603.91,"1,051.94"
기타금융원가,123.24,106.43,106.76,26.25,26.54
기타수익,"3,471.81",353.13,772.21,111.33,151.81
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,12.96,2.72,192.08,6.28,21.88
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,5.11,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,79.73,50.74,43.85,10.09,13.49
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,3.97,4.06,1.00,1.44
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,"3,379.12",290.58,532.22,93.96,115.00
기타비용,"2,553.51",659.31,436.15,50.27,98.42
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.15,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,102.21,22.38,41.94,3.93,4.91
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,12.67,70.85,40.52,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.92,0.0,2.35,0.25,0.0
충당부채전입액,0.30,4.82,0.0,0.0,0.0
기타,"2,437.41",561.11,351.34,46.10,93.50
"종속기업,공동지배기업및관계기업관련손익",-135.11,-509.96,"-1,007.25",-111.30,-348.53
지분법손익,-135.11,-509.96,"-1,007.25",0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,-111.30,-348.53
세전계속사업이익,"5,390.52","3,510.40",502.52,892.89,-140.60
법인세비용,50.14,"1,032.18",183.33,158.16,78.46
계속영업이익,"5,340.38","2,478.22",319.19,734.73,-219.05
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"5,340.38","2,478.22",319.19,734.73,-219.05
지배주주순이익,"4,274.32","1,910.35",251.94,462.88,-97.36
비지배주주순이익,"1,066.05",567.87,67.25,271.85,-121.70
