IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"201,240.70","214,367.88","165,922.49","31,768.18","48,161.81"
매출원가,"159,033.23","176,545.81","134,986.85","29,744.87","39,731.83"
매출총이익,"42,207.47","37,822.07","30,935.64","2,023.31","8,429.98"
판매비와관리비,"24,127.34","22,367.19","28,201.16","7,457.84","6,405.77"
인건비,"4,567.67","4,799.65","5,130.05","1,736.91","1,370.00"
유무형자산상각비,726.56,693.60,706.78,219.12,173.90
연구개발비,"10,763.53","10,984.70","12,975.37","3,570.09","3,281.75"
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,"2,326.67","1,327.78","2,038.08",389.00,297.24
관리비,"1,424.71","1,330.23","1,713.90",416.68,384.96
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,"4,318.20","3,231.24","5,636.98","1,126.05",897.92
영업이익,"18,080.13","15,454.89","2,734.48","-5,434.54","2,024.21"
영업이익(발표기준),"18,080.13","15,454.89","3,633.04","-4,340.69","2,490.80"
금융수익,"13,906.46","9,584.83","11,286.76","1,691.07","2,323.92"
이자수익,433.79,797.50,549.76,99.10,126.49
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,"12,370.78","8,462.76","10,732.89","1,585.97","2,197.43"
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.88,0.06,0.0,0.0,0.0
금융자산평가이익,799.98,133.34,4.10,6.00,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,301.04,191.16,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,"14,427.61","11,570.05","16,025.82","2,535.70","3,312.36"
이자비용,900.59,"2,735.39","3,356.45",852.65,775.89
외환손실,"12,794.89","8,344.05","11,129.43","1,566.41","2,155.87"
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,389.90,244.27,0.0,95.74
금융자산처분손실,144.69,0.00,0.0,0.0,0.0
금융자산평가손실,546.19,17.69,"1,263.89",86.00,278.39
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,40.67,50.83,0.0,0.0,0.0
기타금융원가,0.58,32.19,31.78,30.63,6.47
기타수익,629.98,650.24,"1,365.74","1,472.39",660.90
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,122.51,170.95,142.54,265.99,114.79
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,107.41,175.96,6.47,27.71,0.33
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,3.32,1.20,1.22,0.38,0.27
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,396.74,302.12,"1,215.51","1,178.31",545.51
기타비용,"2,063.17",474.20,"2,099.80",62.57,87.81
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,"1,135.92",198.61,538.86,6.55,26.58
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,310.89,37.59,"1,262.89",0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,616.36,238.00,298.05,56.02,61.23
"종속기업,공동지배기업및관계기업관련손익","10,396.97","10,172.38","8,011.86","1,298.59","1,124.03"
지분법손익,"10,396.97","10,172.38","8,011.86","1,298.59","1,124.03"
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"26,522.75","23,818.08","5,273.22","-3,570.75","2,732.88"
법인세비용,"6,129.14","4,031.49",68.60,"-1,354.99",-73.48
계속영업이익,"20,393.61","19,786.60","5,204.62","-2,215.76","2,806.36"
중단영업이익,0.0,873.87,550.51,56.21,60.53
당기순이익,"20,393.61","20,660.47","5,755.12","-2,159.55","2,866.89"
지배주주순이익,"19,521.49","20,092.07","5,992.90","-2,205.48","2,731.34"
비지배주주순이익,872.13,568.39,-237.77,45.93,135.55
