IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,957.45,"1,258.91","1,157.73",294.42,294.56
매출원가,761.71,"1,078.01",976.74,253.64,247.76
매출총이익,195.75,180.90,180.98,40.78,46.80
판매비와관리비,108.37,126.50,116.17,27.64,29.49
인건비,39.21,62.29,56.77,13.00,14.27
유무형자산상각비,4.53,3.71,1.91,0.47,0.50
연구개발비,16.80,18.45,16.75,3.91,3.89
광고선전비,0.03,0.01,0.0,0.0,0.0
판매비,34.09,22.62,26.22,6.52,6.67
관리비,13.71,19.42,14.50,3.75,4.13
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.01,0.02,0.0,0.02
영업이익,87.37,54.39,64.81,13.15,17.31
영업이익(발표기준),87.37,54.39,64.81,13.15,17.31
금융수익,82.79,127.24,118.72,27.74,32.26
이자수익,81.99,124.47,117.80,27.24,31.11
배당금수익,0.07,0.07,0.03,0.04,0.01
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.06,0.88,0.0,0.0,0.0
금융자산평가이익,0.67,1.83,0.89,0.46,1.14
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.57,4.37,0.89,31.27,0.31
이자비용,1.75,1.66,0.89,0.16,0.31
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.28,2.71,0.0,4.01,0.0
금융자산평가손실,1.54,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,27.10,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,310.70,20.28,20.53,2.44,6.98
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,21.08,12.97,16.40,1.56,6.06
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,11.23,0.90,0.36,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.12,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,278.27,6.42,3.76,0.88,0.92
기타비용,28.20,11.09,14.01,1.76,2.94
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,12.48,6.60,10.55,1.62,2.79
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,3.55,2.59,0.0,0.14
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,14.97,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.14,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.62,0.94,0.87,0.15,0.00
"종속기업,공동지배기업및관계기업관련손익",1.62,-29.79,1.50,-1.35,-4.19
지분법손익,1.62,-29.79,1.50,-1.35,-4.19
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,450.71,156.66,190.67,8.94,49.11
법인세비용,41.10,15.12,41.81,0.90,10.44
계속영업이익,409.62,141.54,148.86,8.04,38.67
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,409.62,141.54,148.86,8.04,38.67
지배주주순이익,409.11,138.81,144.49,8.72,37.83
비지배주주순이익,0.51,2.74,4.37,-0.69,0.84
