IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,783.49,"1,505.78","1,501.14",267.27,380.81
매출원가,721.96,"1,147.70","1,152.11",178.00,289.71
매출총이익,61.53,358.08,349.02,89.26,91.10
판매비와관리비,"1,254.98","1,246.74","1,217.09",314.03,270.89
인건비,262.78,250.30,229.45,59.31,59.49
유무형자산상각비,152.28,132.35,97.64,20.26,23.44
연구개발비,385.61,428.17,568.35,151.76,111.00
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,51.00,103.55,124.28,33.10,26.91
관리비,371.99,280.79,152.43,38.08,38.17
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,31.33,51.58,44.95,11.51,11.88
영업이익,"-1,193.45",-888.66,-868.07,-224.76,-179.79
영업이익(발표기준),"-1,193.45",-888.66,-868.07,-224.76,-179.79
금융수익,75.39,95.12,121.20,58.79,33.86
이자수익,30.31,36.80,48.55,11.84,11.43
배당금수익,0.0,0.04,0.06,0.0,0.0
외환이익,10.97,10.29,13.23,0.63,2.51
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,1.09,2.72,0.0,0.0
금융자산평가이익,7.76,0.80,0.31,0.02,0.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,25.94,45.56,55.93,46.30,19.88
기타금융수익,0.40,0.55,0.40,0.0,0.0
금융원가,146.80,102.43,195.61,81.30,26.06
이자비용,99.06,6.32,10.07,2.16,1.31
외환손실,12.11,9.98,5.61,1.16,0.74
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,12.09,0.0,0.0,0.0,0.0
금융자산평가손실,23.11,0.0,0.0,1.81,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,54.45,23.61,0.0,13.29
기타금융원가,0.43,31.68,156.32,76.18,10.73
기타수익,250.89,33.90,7.21,17.85,2.27
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.70,1.84,0.79,0.05,0.17
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.44,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.50,0.45,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,3.54,1.63,1.74,1.52
대손충당금환입,49.93,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,199.33,28.07,4.80,16.06,0.58
기타비용,125.04,90.32,51.63,70.13,12.77
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.11,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,3.06,0.01,2.80,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,117.98,22.71,8.02,68.74,11.87
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,61.04,35.15,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.89,6.57,5.66,1.40,0.90
"종속기업,공동지배기업및관계기업관련손익",-17.11,0.0,-0.00,0.72,0.0
지분법손익,-12.10,0.0,0.0,0.72,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-5.00,0.0,-0.00,0.0,0.0
세전계속사업이익,"-1,156.11",-952.39,-986.89,-298.84,-182.48
법인세비용,4.74,20.44,16.87,2.50,0.06
계속영업이익,"-1,160.85",-972.83,"-1,003.76",-301.33,-182.54
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"-1,160.85",-972.83,"-1,003.76",-301.33,-182.54
지배주주순이익,-986.57,-556.19,-580.79,-147.93,-297.67
비지배주주순이익,-174.28,-416.64,-422.96,-153.41,115.12
