IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"6,429.21","6,753.33","8,368.67","2,524.90","1,996.10"
매출원가,"4,790.18","5,588.85","6,802.67","1,861.14","1,616.17"
매출총이익,"1,639.03","1,164.48","1,566.00",663.76,379.94
판매비와관리비,472.84,542.79,547.22,186.92,150.05
인건비,211.40,216.66,230.79,72.73,55.24
유무형자산상각비,17.19,17.45,17.84,5.83,4.60
연구개발비,0.07,0.0,0.04,0.0,0.08
광고선전비,0.34,0.75,0.85,0.41,0.35
판매비,20.69,26.18,20.92,6.31,11.16
관리비,221.17,271.17,274.24,101.47,78.55
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.99,10.58,2.52,0.16,0.06
영업이익,"1,166.18",621.69,"1,018.79",476.84,229.89
영업이익(발표기준),"1,166.18",621.69,"1,018.79",476.84,229.89
금융수익,330.80,300.63,372.82,123.55,93.84
이자수익,1.32,27.43,29.87,5.88,6.70
배당금수익,2.30,3.79,5.54,2.49,0.77
외환이익,285.12,247.97,335.90,108.98,86.32
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.12,4.68,1.00,1.07,0.05
금융자산손상차손환입,0.0,1.32,0.0,0.0,0.0
파생상품이익,41.94,15.44,0.51,5.13,0.00
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,421.81,383.67,460.92,140.38,110.78
이자비용,84.57,115.03,117.31,27.61,31.71
외환손실,244.41,222.17,212.32,105.60,43.26
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,1.25,0.61,1.67,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,88.48,44.59,129.30,7.09,35.74
기타금융원가,3.11,1.27,0.32,0.09,0.08
기타수익,13.35,12.95,26.75,14.49,3.26
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.44,1.02,3.97,1.01,1.34
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,5.54,4.26,4.27,1.29,1.00
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,4.63,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,7.37,7.67,13.88,12.19,0.92
기타비용,10.22,4.81,38.67,8.44,2.25
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,7.86,0.39,29.49,1.32,1.88
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.36,4.43,9.17,7.13,0.37
"종속기업,공동지배기업및관계기업관련손익",-0.00,-0.23,-0.70,-0.75,-0.18
지분법손익,-0.00,-0.23,-0.70,-0.75,-0.18
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,078.30",546.56,918.07,465.31,213.77
법인세비용,74.99,69.33,177.73,82.28,38.34
계속영업이익,"1,003.30",477.23,740.34,383.04,175.43
중단영업이익,21.43,0.0,0.0,0.0,0.0
당기순이익,"1,024.73",477.23,740.34,383.04,175.43
지배주주순이익,"1,024.73",477.23,740.34,383.04,175.43
비지배주주순이익,0.0,0.0,0.0,-0.00,0.0
