IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,293.30","3,115.60","3,269.73",775.37,757.30
매출원가,"2,693.58","2,688.61","2,826.13",686.40,659.79
매출총이익,599.72,426.99,443.60,88.97,97.51
판매비와관리비,406.47,335.83,305.69,80.16,80.70
인건비,69.09,75.21,69.79,16.53,19.44
유무형자산상각비,5.62,7.73,6.11,1.52,1.52
연구개발비,6.98,6.83,7.28,1.80,1.76
광고선전비,4.43,6.87,3.59,0.66,1.20
판매비,220.82,143.85,128.30,37.96,32.36
관리비,88.78,91.68,87.12,20.88,23.62
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,10.75,3.66,3.49,0.81,0.81
영업이익,193.25,91.16,137.91,8.81,16.80
영업이익(발표기준),193.25,91.16,137.91,8.81,16.80
금융수익,28.72,25.20,30.15,3.36,1.82
이자수익,1.83,5.27,5.19,1.31,1.27
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,18.62,14.31,24.06,1.88,0.28
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.10,0.13,0.0,0.0,0.0
금융자산평가이익,0.12,0.13,0.01,0.02,0.09
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,7.43,4.94,0.48,0.03,0.10
기타금융수익,0.62,0.42,0.41,0.13,0.08
금융원가,110.11,110.90,132.22,23.67,42.28
이자비용,49.36,80.47,78.74,18.11,17.67
외환손실,50.51,28.21,53.07,5.22,21.72
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,1.04,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,9.63,0.75,0.0,0.22,2.81
기타금융원가,0.62,0.42,0.41,0.13,0.08
기타수익,22.97,15.13,30.73,3.69,26.32
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.55,0.47,0.52,0.54,0.52
외환이익,12.43,4.43,12.04,1.24,10.76
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,9.30,0.0,0.14
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.17,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.18,0.20,0.15,0.02,0.02
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,9.81,10.03,8.72,1.71,14.88
기타비용,17.17,35.12,66.85,3.88,6.06
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.70,3.38,4.59,1.21,0.81
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,3.82,0.79,1.58,0.01,0.44
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.03,37.67,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,10.64,30.93,23.02,2.65,4.81
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,117.66,-14.53,-0.27,-11.69,-3.41
법인세비용,64.10,41.40,18.99,-0.15,3.99
계속영업이익,53.56,-55.93,-19.26,-11.54,-7.40
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,53.56,-55.93,-19.26,-11.54,-7.40
지배주주순이익,53.56,-55.93,-19.26,-11.54,-7.40
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
