IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,894.91,737.85,796.09,237.88,215.03
매출원가,745.87,625.35,693.94,195.02,173.84
매출총이익,149.04,112.50,102.15,42.86,41.19
판매비와관리비,71.45,66.97,56.67,12.12,18.58
인건비,29.84,27.73,37.40,5.88,6.63
유무형자산상각비,2.71,3.08,3.27,0.85,0.76
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.02,0.04,0.01,0.20,0.0
판매비,29.20,25.68,7.04,2.61,8.65
관리비,9.69,10.43,8.95,2.59,2.54
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,77.58,45.54,45.48,30.74,22.61
영업이익(발표기준),77.58,45.54,45.48,30.74,22.61
금융수익,39.71,27.53,38.09,5.00,9.10
이자수익,7.00,14.46,14.97,3.33,3.58
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,32.58,12.62,22.96,1.68,5.52
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.13,0.45,0.16,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,15.65,8.98,5.25,2.21,0.18
이자비용,0.01,0.01,0.01,0.00,0.00
외환손실,15.09,8.90,4.90,2.19,0.17
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.03,0.0,0.0,0.0,0.0
금융자산평가손실,0.53,0.07,0.34,0.03,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,6.08,5.96,10.96,3.86,2.07
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.43,0.17,0.52,0.02,0.07
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,4.09,4.45,5.44,1.35,1.35
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.56,1.35,5.00,2.48,0.65
기타비용,0.85,0.20,1.31,0.03,0.05
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.04,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.85,0.17,1.31,0.03,0.05
"종속기업,공동지배기업및관계기업관련손익",0.75,0.61,0.11,-1.55,-0.17
지분법손익,0.0,0.0,0.0,-1.55,-0.17
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.75,0.61,0.11,0.0,0.0
세전계속사업이익,107.61,70.46,88.08,35.81,33.38
법인세비용,23.00,13.31,16.89,8.31,6.54
계속영업이익,84.61,57.15,71.19,27.49,26.84
중단영업이익,0.39,10.16,-0.13,-0.05,-0.11
당기순이익,85.00,67.31,71.06,27.44,26.73
지배주주순이익,84.94,65.68,71.08,27.44,26.75
비지배주주순이익,0.06,1.63,-0.02,0.0,-0.02
