IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,316.54,322.09,435.03,100.05,114.64
매출원가,325.56,282.85,358.74,79.03,95.53
매출총이익,-9.02,39.23,76.29,21.02,19.11
판매비와관리비,65.16,46.45,43.05,9.50,13.10
인건비,13.43,9.32,8.85,2.23,3.27
유무형자산상각비,0.07,0.75,0.84,0.21,0.19
연구개발비,13.45,11.66,12.35,2.72,2.05
광고선전비,0.00,0.17,0.24,0.01,0.04
판매비,18.52,12.15,12.48,1.92,2.46
관리비,19.68,12.40,8.28,2.40,5.08
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-74.18,-7.21,33.24,11.52,6.01
영업이익(발표기준),-74.18,-7.21,33.24,11.52,6.01
금융수익,7.66,4.88,7.05,0.71,0.47
이자수익,3.16,2.94,4.74,0.12,0.13
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.49,0.01,0.79,0.59,0.35
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,1.93,1.53,0.0,0.0
금융자산평가이익,0.00,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,9.29,11.10,9.77,1.30,1.85
이자비용,6.65,9.51,8.42,1.14,1.76
외환손실,2.64,1.59,1.35,0.16,0.09
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,7.96,4.17,4.58,0.71,1.97
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.40,0.05,0.25,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.94,2.25,2.25,0.56,1.59
로열티수익,0.27,0.14,0.25,0.03,0.09
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.73,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.61,1.72,1.82,0.12,0.28
기타비용,1.08,5.97,5.75,0.00,0.19
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.17,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,5.95,5.68,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.91,0.03,0.07,0.00,0.19
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.45,0.02,0.0
지분법손익,0.0,0.0,0.45,0.02,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-68.93,-15.24,29.81,11.66,6.40
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-68.93,-15.24,29.81,11.66,6.40
중단영업이익,0.0,-7.32,4.31,109.57,0.0
당기순이익,-68.93,-22.56,34.12,121.22,6.40
지배주주순이익,-68.93,-22.56,34.12,121.22,6.40
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
