IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,578.94","4,144.91","4,570.78","1,328.31","1,142.81"
매출원가,"4,230.72","3,951.10","4,327.99","1,127.79","1,098.78"
매출총이익,348.22,193.81,242.79,200.52,44.03
판매비와관리비,408.00,355.81,426.33,98.43,100.15
인건비,126.23,119.10,154.28,35.85,29.94
유무형자산상각비,8.77,9.48,12.63,2.94,3.17
연구개발비,108.95,86.49,102.09,24.14,25.22
광고선전비,0.42,0.26,0.08,0.0,0.0
판매비,99.05,74.59,90.36,17.23,22.50
관리비,64.30,65.56,66.53,18.20,19.23
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.28,0.34,0.36,0.08,0.08
영업이익,-59.79,-162.00,-183.55,102.09,-56.13
영업이익(발표기준),-59.79,-162.00,-183.55,102.09,-56.13
금융수익,13.26,12.38,17.75,2.12,5.84
이자수익,6.29,5.35,7.23,1.23,1.94
배당금수익,1.13,0.60,0.67,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,4.78,5.26,9.85,0.89,3.90
금융자산평가이익,1.05,1.17,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,36.84,44.48,49.37,11.93,10.87
이자비용,36.84,44.48,48.71,11.93,10.87
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.67,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,33.08,31.50,64.91,16.46,11.27
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,28.76,17.10,48.24,13.64,9.47
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.50,0.24,0.15,0.13,0.05
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.83,14.15,16.53,2.69,1.76
기타비용,19.92,137.42,271.58,14.58,2.73
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,17.96,14.87,9.11,14.49,0.94
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.03,104.99,0.50,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,259.89,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.93,17.56,2.09,0.10,1.79
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-70.20,-300.03,-421.84,94.16,-52.61
법인세비용,-16.74,-71.51,-93.16,7.95,-22.42
계속영업이익,-53.47,-228.52,-328.68,86.20,-30.18
중단영업이익,11.98,37.67,243.37,0.0,243.37
당기순이익,-41.49,-190.85,-85.30,86.20,213.19
지배주주순이익,-41.49,-190.85,-85.30,86.20,213.19
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
