IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"10,460.54","12,479.06","12,834.32","3,520.44","3,464.08"
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,"10,460.54","12,479.06","12,834.32","3,520.44","3,464.08"
판매비와관리비,"10,179.43","11,908.94","12,454.74","3,249.77","3,091.05"
인건비,534.48,832.97,864.95,253.36,207.53
유무형자산상각비,54.78,87.32,97.11,23.70,24.41
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,70.83,122.22,150.17,40.94,33.50
판매비,66.86,77.66,76.31,20.89,19.22
관리비,521.55,628.99,797.08,207.39,173.50
기타원가성비용,"8,839.79","9,828.03","10,108.55","2,574.12","2,512.14"
기타,91.13,331.77,360.57,129.37,120.75
영업이익,281.12,570.12,379.58,270.67,373.03
영업이익(발표기준),676.26,"1,244.69",988.68,270.67,373.03
금융수익,1.64,6.43,30.04,5.04,5.31
이자수익,1.64,6.43,15.24,5.04,5.31
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,4.12,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,10.68,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,37.39,102.06,117.40,27.87,28.51
이자비용,36.89,101.61,113.46,27.87,28.51
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.47,0.42,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.03,0.03,0.10,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,3.84,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,523.57,860.17,625.50,20.77,6.23
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,12.39,8.95,11.65,18.70,3.47
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.29,0.0,0.11,0.02,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.41,0.34,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,510.49,850.88,613.74,2.04,2.76
기타비용,37.13,29.24,286.78,1.93,4.43
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,8.14,9.15,3.11,1.16,0.97
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.05,0.38,0.01,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,3.08,6.90,105.25,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,25.86,12.81,178.41,0.77,3.46
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,731.80,"1,305.42",630.95,266.68,351.63
법인세비용,41.44,154.22,64.02,22.18,40.71
계속영업이익,690.35,"1,151.20",566.93,244.50,310.92
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,690.35,"1,151.20",566.93,244.50,310.92
지배주주순이익,692.10,"1,151.22",594.22,250.64,317.36
비지배주주순이익,-1.74,-0.02,-27.29,-6.14,-6.44
