IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"45,338.79","43,554.78","43,060.38","10,056.73","8,923.62"
매출원가,"26,600.36","24,966.15","26,984.19","6,292.26","5,256.40"
매출총이익,"18,738.44","18,588.63","16,076.20","3,764.47","3,667.22"
판매비와관리비,"8,716.45","9,862.81","10,905.74","2,439.50","2,488.48"
인건비,"2,524.68","2,757.86","3,332.90",743.53,686.16
유무형자산상각비,468.60,506.22,614.33,139.50,136.61
연구개발비,26.59,55.73,21.56,3.34,10.71
광고선전비,564.79,727.39,741.44,120.26,167.19
판매비,"2,744.86","3,155.39","3,186.53",722.33,783.73
관리비,"2,274.18","2,568.67","2,858.48",689.03,683.23
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,112.77,91.55,150.50,21.50,20.85
영업이익,"10,021.99","8,725.82","5,170.45","1,324.97","1,178.74"
영업이익(발표기준),"10,021.99","8,725.82","5,170.45","1,324.97","1,178.74"
금융수익,232.18,594.81,667.31,155.85,157.97
이자수익,178.01,544.38,596.84,147.22,157.97
배당금수익,51.09,50.44,70.47,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,3.08,0.0,0.0,8.63,0.0
금융원가,140.54,244.62,240.21,62.06,62.31
이자비용,139.21,244.62,240.21,62.06,62.31
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,1.33,0.0,0.0,0.0,0.0
기타수익,"2,968.31","2,241.86","3,628.47","1,012.52","1,006.24"
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,"2,701.61","2,038.29","3,248.07",950.29,822.93
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,6.55,12.11,4.74,0.0,0.0
자산처분(폐기)이익,64.86,3.44,6.49,0.94,3.79
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,26.02,29.63,144.18,11.50,134.77
임대료수익,14.59,15.39,14.68,3.89,3.50
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,2.44,0.05,0.01,0.00,0.01
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,152.24,142.96,210.31,45.90,41.23
기타비용,"2,247.91","1,940.36","2,583.88",915.75,599.19
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"2,104.09","1,679.17","1,845.86",858.96,560.84
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,8.87,2.50,0.0,0.0
자산처분(폐기)손실,6.90,7.53,11.40,5.33,0.37
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.52,49.98,569.14,0.0,0.0
파생상품손실,21.04,10.11,0.84,35.47,0.09
기타대손상각비,7.63,2.49,11.22,0.62,0.58
충당부채전입액,6.10,5.64,1.32,1.24,0.35
기타,101.63,176.58,141.60,14.14,36.97
"종속기업,공동지배기업및관계기업관련손익",0.0,-9.20,-2.31,-0.81,0.0
지분법손익,0.0,-9.20,-2.31,-0.81,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"10,834.02","9,368.31","6,639.84","1,514.72","1,681.44"
법인세비용,"1,852.58","2,180.94","1,683.51",427.82,423.23
계속영업이익,"8,981.45","7,187.37","4,956.33","1,086.90","1,258.21"
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"8,981.45","7,187.37","4,956.33","1,086.90","1,258.21"
지배주주순이익,"4,408.43","3,717.30","3,339.60",696.18,722.46
비지배주주순이익,"4,573.01","3,470.07","1,616.73",390.72,535.75
