IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"59,446.67","80,094.30","99,030.78","24,942.86","23,477.96"
매출원가,"64,068.87","73,639.56","89,825.16","22,566.80","21,831.82"
매출총이익,"-4,622.20","6,454.74","9,205.62","2,376.06","1,646.13"
판매비와관리비,"3,922.01","4,121.29","4,178.63","1,145.29",867.47
인건비,"1,034.20",947.43,997.85,280.43,237.26
유무형자산상각비,273.85,277.37,294.16,76.16,71.26
연구개발비,608.65,678.21,829.76,213.43,175.37
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-10.41,26.10,-152.82,24.22,-168.77
관리비,"1,364.50","1,513.16","1,522.62",371.70,380.68
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,651.21,679.02,687.07,179.35,171.67
영업이익,"-8,544.21","2,333.45","5,026.99","1,230.77",778.67
영업이익(발표기준),"-8,544.21","2,333.45","5,026.99","1,230.77",778.67
금융수익,"1,771.51","1,430.08","1,824.66","1,572.48",588.99
이자수익,158.68,328.59,211.07,42.36,47.71
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,412.41,230.86,149.86,65.66,94.80
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,"1,200.42",870.63,"1,463.74","1,464.46",446.48
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,"2,566.49","2,895.55","3,618.44","1,389.44",931.27
이자비용,997.28,"1,785.82","2,132.47",431.91,522.54
외환손실,530.56,409.80,831.97,81.29,258.12
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,955.91,553.33,269.83,873.59,148.02
기타금융원가,82.74,146.60,384.17,2.65,2.59
기타수익,"30,655.85","17,872.45","54,252.16","3,480.20","14,142.39"
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,"2,080.54","1,805.46","4,054.11",357.90,"1,840.85"
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,"23,949.30","15,354.16","48,021.92","3,063.81","12,042.64"
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,"4,626.01",712.84,"2,176.13",58.49,258.90
기타비용,"26,855.41","21,697.02","60,640.44","3,985.18","14,426.37"
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"1,557.70","1,259.56","2,283.38",632.79,551.90
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,"24,749.51","16,021.95","57,911.12","2,991.56","13,645.34"
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,548.19,"4,415.51",445.95,360.83,229.13
"종속기업,공동지배기업및관계기업관련손익",-8.37,-0.53,0.05,-0.02,0.01
지분법손익,-8.37,-0.53,0.05,-0.02,0.01
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"-5,547.11","-2,957.12","-3,155.02",908.80,152.42
법인세비용,727.01,"-1,401.56","-3,693.79",7.66,74.01
계속영업이익,"-6,274.12","-1,555.56",538.77,901.14,78.41
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"-6,274.12","-1,555.56",538.77,901.14,78.41
지배주주순이익,"-6,194.38","-1,482.73",638.76,920.96,99.47
비지배주주순이익,-79.74,-72.84,-99.99,-19.82,-21.06
