IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,345.55","1,493.83","1,287.11",332.98,353.06
매출원가,"1,143.86","1,231.40","1,100.33",274.37,296.19
매출총이익,201.69,262.43,186.78,58.61,56.86
판매비와관리비,89.56,104.41,98.90,22.47,24.37
인건비,43.50,45.45,46.16,0.0,0.0
유무형자산상각비,2.13,2.23,2.32,0.0,0.0
연구개발비,0.71,0.48,0.48,0.0,0.0
광고선전비,0.25,0.19,0.15,0.0,0.0
판매비,21.66,34.76,29.34,0.0,0.0
관리비,21.27,21.12,20.43,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.05,0.20,0.03,22.47,24.37
영업이익,112.13,158.02,87.88,36.14,32.50
영업이익(발표기준),112.13,158.02,87.88,36.14,32.50
금융수익,11.73,41.90,62.55,12.70,7.96
이자수익,1.62,5.63,4.95,0.0,0.0
배당금수익,0.14,0.23,0.44,0.0,0.0
외환이익,8.98,29.85,48.97,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.75,5.45,7.50,0.0,0.0
금융자산평가이익,0.24,0.74,0.70,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,12.70,7.96
금융원가,28.11,32.95,22.94,8.15,3.43
이자비용,2.90,2.28,1.76,0.0,0.0
외환손실,18.22,28.17,13.95,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,6.02,0.49,0.03,0.0,0.0
금융자산평가손실,0.96,1.99,7.15,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.01,0.01,0.06,8.15,3.43
기타수익,36.10,8.84,9.56,2.03,9.91
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,26.43,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.16,0.03,0.03,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,5.17,5.47,5.47,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.34,3.34,4.07,2.03,9.91
기타비용,22.43,6.89,1.03,3.58,3.52
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,21.96,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,3.18,0.13,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.47,3.71,0.90,3.58,3.52
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,109.42,168.92,136.02,39.15,43.42
법인세비용,23.92,37.13,30.52,7.55,8.93
계속영업이익,85.50,131.79,105.50,31.60,34.49
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,85.50,131.79,105.50,31.60,34.49
지배주주순이익,85.50,131.79,105.50,31.60,34.49
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
