IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,900.89","2,185.56","2,148.63",459.55,432.49
매출원가,"1,200.50","1,461.64","1,391.39",282.40,279.96
매출총이익,700.39,723.92,757.23,177.15,152.53
판매비와관리비,558.65,602.22,637.23,183.75,158.67
인건비,359.68,398.10,432.99,134.72,111.66
유무형자산상각비,18.61,16.46,16.23,3.96,4.11
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,25.01,27.96,35.13,5.29,3.61
판매비,3.94,4.71,3.68,1.58,1.51
관리비,145.29,148.25,142.97,36.60,35.91
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.12,6.74,6.23,1.60,1.87
영업이익,141.75,121.70,120.00,-6.60,-6.14
영업이익(발표기준),141.75,121.70,120.00,-6.60,-6.14
금융수익,16.43,28.15,28.41,6.69,7.76
이자수익,14.20,27.21,27.09,6.29,7.29
배당금수익,0.06,0.05,0.05,0.01,0.01
외환이익,2.17,0.89,1.27,0.39,0.46
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.20,1.59,1.52,0.42,0.31
이자비용,0.68,0.67,0.58,0.11,0.16
외환손실,0.52,0.92,0.94,0.31,0.15
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.46,0.51,1.17,0.14,0.13
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.08,0.23,0.57,0.07,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.38,0.28,0.60,0.07,0.13
기타비용,10.14,15.46,14.82,5.06,9.70
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.42,0.04,0.01,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.09,5.68,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,8.63,9.74,14.81,5.06,9.70
"종속기업,공동지배기업및관계기업관련손익",18.92,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",18.62,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.30,0.0,0.0,0.0,0.0
세전계속사업이익,166.21,133.30,133.24,-5.24,-8.25
법인세비용,43.35,34.95,35.03,-0.84,-1.67
계속영업이익,122.86,98.35,98.21,-4.40,-6.58
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,122.86,98.35,98.21,-4.40,-6.58
지배주주순이익,122.86,98.35,98.21,-4.40,-6.58
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
