IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,581.16",597.46,833.01,216.18,203.53
매출원가,"1,358.96",522.05,735.98,187.93,173.08
매출총이익,222.20,75.42,97.03,28.25,30.45
판매비와관리비,199.58,184.32,125.77,25.53,51.70
인건비,104.99,98.77,79.11,15.75,24.25
유무형자산상각비,9.64,10.77,7.30,1.52,2.58
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,1.73,1.36,0.23,0.0,0.17
판매비,39.53,91.73,-3.92,0.99,0.62
관리비,21.31,41.37,38.13,6.34,21.23
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,22.38,-59.67,4.93,0.92,2.85
영업이익,22.62,-108.90,-28.74,2.72,-21.25
영업이익(발표기준),22.62,-108.90,-28.74,2.72,-21.25
금융수익,2.18,9.50,6.93,0.45,5.91
이자수익,2.18,9.50,6.93,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.45,5.91
금융원가,8.54,14.17,7.84,0.52,2.37
이자비용,0.0,14.17,7.84,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,8.54,0.0,0.0,0.52,2.37
기타수익,43.72,40.18,20.84,4.46,8.84
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,10.63,5.05,8.35,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,5.22,0.0,0.0,0.0
자산처분(폐기)이익,7.31,0.0,0.42,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,28.47,5.31,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,25.78,1.43,6.75,4.46,8.84
기타비용,256.31,527.75,178.81,11.01,8.47
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,9.24,5.62,5.37,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,72.35,27.40,1.53,0.0,0.0
자산처분(폐기)손실,0.0,0.0,50.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,6.61,37.24,0.0,0.0,0.0
파생상품손실,19.57,0.0,0.0,0.0,0.0
기타대손상각비,9.76,40.61,29.82,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,138.78,416.88,92.09,11.01,8.47
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-196.33,-601.13,-187.61,-3.91,-17.34
법인세비용,13.91,4.31,4.57,1.93,2.83
계속영업이익,-210.24,-605.44,-192.18,-5.84,-20.17
중단영업이익,0.0,-58.28,-21.58,0.0,0.0
당기순이익,-210.24,-663.72,-213.76,-5.84,-20.17
지배주주순이익,-208.81,-649.10,-212.20,-5.83,-19.77
비지배주주순이익,-1.43,-14.62,-1.56,-0.00,-0.39
