IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"16,902.71","18,027.60","17,123.16","4,734.51","4,156.32"
매출원가,"15,162.60","16,262.77","15,446.08","4,188.01","3,711.34"
매출총이익,"1,740.12","1,764.83","1,677.08",546.50,444.99
판매비와관리비,866.49,927.54,"1,023.97",241.77,234.32
인건비,285.64,312.48,338.51,80.17,74.59
유무형자산상각비,11.87,11.88,13.41,3.83,3.02
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.82,1.10,0.97,0.12,0.28
판매비,362.48,357.19,418.06,89.99,98.17
관리비,200.92,235.05,247.52,65.82,56.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.76,9.84,5.51,1.84,1.87
영업이익,873.63,837.29,653.11,304.73,210.67
영업이익(발표기준),873.63,837.29,653.11,304.73,210.67
금융수익,564.25,423.68,704.51,142.46,234.20
이자수익,43.11,117.36,110.76,23.14,33.54
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,480.67,272.43,580.73,106.70,196.33
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.99,3.86,4.77,1.22,1.12
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,39.48,30.03,8.25,11.39,3.21
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,533.77,411.03,633.27,106.44,124.37
이자비용,167.89,241.23,256.52,63.19,65.70
외환손실,264.13,134.61,331.26,30.63,48.43
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,10.29,0.0,0.0,0.0,0.0
금융자산평가손실,21.34,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,70.12,35.20,45.49,12.62,10.24
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,101.23,109.05,92.99,18.61,53.15
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,31.82,30.88,58.34,11.30,45.37
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.10,0.18,7.33,1.16,1.87
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,69.30,77.98,27.32,6.15,5.91
기타비용,54.34,69.53,46.40,12.85,11.88
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,11.75,21.71,5.89,0.49,0.43
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.06,0.03,0.14,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,5.77,0.22,1.38,2.72,2.01
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,36.76,47.58,39.00,9.64,9.44
"종속기업,공동지배기업및관계기업관련손익",0.09,-43.17,-12.81,-0.21,-6.14
지분법손익,0.0,-43.17,-12.81,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.09,0.0,0.0,-0.21,-6.14
세전계속사업이익,951.09,846.27,758.12,346.29,355.64
법인세비용,208.97,73.59,222.51,55.16,62.15
계속영업이익,742.12,772.68,535.61,291.13,293.49
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,742.12,772.68,535.61,291.13,293.49
지배주주순이익,742.15,772.73,535.76,291.14,293.53
비지배주주순이익,-0.03,-0.04,-0.15,-0.01,-0.04
