IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,997.95,"1,082.88",682.16,216.59,162.83
매출원가,848.87,880.43,629.21,174.63,132.78
매출총이익,149.07,202.46,52.95,41.96,30.05
판매비와관리비,107.57,155.02,115.63,30.02,29.62
인건비,27.82,30.36,36.88,9.31,8.66
유무형자산상각비,5.39,5.77,5.78,1.44,1.43
연구개발비,5.15,7.05,8.01,2.61,2.10
광고선전비,0.00,0.31,0.10,0.0,0.0
판매비,45.96,59.31,27.10,8.06,7.26
관리비,23.25,52.22,37.76,8.61,10.17
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,41.51,47.44,-62.68,11.94,0.43
영업이익(발표기준),41.51,47.44,-62.68,11.94,0.43
금융수익,23.86,26.49,30.03,8.34,6.37
이자수익,11.30,23.61,29.22,6.85,6.37
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.81,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,12.56,1.84,0.0,0.0,0.0
기타금융수익,0.0,1.04,0.0,1.49,0.00
금융원가,56.22,54.34,44.42,10.20,9.70
이자비용,54.34,53.85,44.28,10.20,9.70
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,1.61,0.0,0.0,0.0,0.0
기타금융원가,0.27,0.49,0.14,0.0,0.0
기타수익,20.18,18.52,8.05,1.60,1.85
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,17.47,7.19,4.61,0.83,1.18
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.71,9.59,0.29,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.00,1.74,3.15,0.77,0.67
기타비용,22.76,29.12,34.55,0.76,2.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,15.00,8.16,8.34,0.69,2.03
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,1.49,0.0,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,4.75,16.37,25.95,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.97,3.09,0.25,0.07,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,6.57,8.99,-103.57,10.91,-3.09
법인세비용,-25.75,-9.96,-1.28,0.0,0.0
계속영업이익,32.32,18.96,-102.29,10.91,-3.09
중단영업이익,-19.35,-81.50,0.0,0.0,0.0
당기순이익,12.96,-62.54,-102.29,10.91,-3.09
