IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"61,269.69","65,804.48","69,956.63","18,568.57","16,132.72"
매출원가,"59,682.50","63,808.53","67,472.00","17,889.28","15,586.70"
매출총이익,"1,587.19","1,995.95","2,484.63",679.28,546.03
판매비와관리비,918.92,"1,002.64","1,149.34",310.44,265.55
인건비,543.22,585.23,657.55,173.14,148.20
유무형자산상각비,53.32,57.02,63.35,16.77,15.40
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,8.72,-4.07,10.57,0.40,1.54
관리비,253.39,290.03,337.15,96.23,80.10
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,60.27,74.43,80.72,23.90,20.31
영업이익,668.28,993.31,"1,335.29",368.84,280.48
영업이익(발표기준),668.28,993.31,"1,335.29",368.84,280.48
금융수익,639.63,774.23,501.49,102.88,143.21
이자수익,53.81,115.13,104.94,21.78,31.41
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,585.82,659.10,396.55,81.10,111.80
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,771.85,852.68,578.00,148.31,136.99
이자비용,196.50,240.38,302.33,65.96,75.11
외환손실,575.35,612.30,275.67,82.35,61.88
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,"2,074.97","1,695.78","2,819.20",475.78,456.09
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,137.63,112.89,137.73,30.47,58.27
외환이익,"1,039.07",972.17,"1,265.11",212.04,245.09
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.93,0.0,0.0,0.16
자산처분(폐기)이익,19.97,4.81,784.65,0.87,1.05
자산평가이익,32.39,26.87,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,475.13,326.41,403.70,195.26,75.92
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,1.38,6.71,44.54,20.09,0.0
충당부채환입액,4.39,3.00,4.44,0.0,0.23
기타,365.01,241.99,179.03,17.05,75.37
기타비용,"1,998.67","1,703.10","2,613.35",525.72,412.36
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"1,071.99",998.81,"1,134.89",213.52,231.47
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,1.00,6.29,0.0
자산처분(폐기)손실,102.36,206.65,150.78,27.89,47.89
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,426.38,347.90,538.61,273.12,85.50
기타대손상각비,241.52,0.04,205.50,0.0,12.97
충당부채전입액,7.57,0.24,9.15,0.0,0.22
기타,148.85,149.46,573.42,4.90,34.31
"종속기업,공동지배기업및관계기업관련손익",293.02,186.56,59.90,18.44,45.23
지분법손익,0.0,0.0,0.0,18.44,45.23
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,293.02,186.56,59.90,0.0,0.0
세전계속사업이익,905.38,"1,094.11","1,524.54",291.92,375.66
법인세비용,118.51,260.23,314.79,54.34,28.81
계속영업이익,786.86,833.87,"1,209.75",237.58,346.84
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,786.86,833.87,"1,209.75",237.58,346.84
지배주주순이익,787.15,836.87,"1,210.68",238.71,347.42
비지배주주순이익,-0.29,-3.00,-0.93,-1.13,-0.58
