IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"5,273.69","4,975.00","4,803.48","1,109.85","1,212.96"
매출원가,"4,841.80","4,633.17","4,434.99","1,046.70","1,093.59"
매출총이익,431.89,341.83,368.49,63.15,119.37
판매비와관리비,389.62,330.14,337.76,78.96,81.44
인건비,133.02,129.04,132.07,33.21,32.42
유무형자산상각비,36.80,34.76,31.57,6.49,8.49
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,85.02,88.70,97.38,23.69,18.88
관리비,38.30,47.57,47.53,9.81,11.80
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,96.48,30.07,29.23,5.76,9.86
영업이익,42.27,11.68,30.73,-15.81,37.93
영업이익(발표기준),42.27,11.68,30.73,-15.81,37.93
금융수익,131.78,67.28,51.85,11.60,15.67
이자수익,0.91,3.18,2.61,2.37,0.66
배당금수익,0.43,0.52,0.64,0.62,0.61
외환이익,73.32,34.18,43.01,7.02,12.22
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.31,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,46.20,29.39,4.74,1.21,2.02
기타금융수익,10.92,0.0,0.54,0.38,0.16
금융원가,208.83,187.33,158.09,30.39,40.16
이자비용,120.99,143.90,120.30,25.93,32.34
외환손실,66.35,27.62,25.56,4.25,7.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.24,0.01,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.06,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,5.76,0.0,0.0
금융자산손상차손,9.90,0.0,0.0,0.0,0.0
파생상품손실,5.11,6.78,4.89,0.0,2.26
기타금융원가,6.47,8.97,1.33,0.20,-1.45
기타수익,27.03,64.66,20.77,59.53,17.20
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.99,52.04,0.19,2.28,0.05
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.75,0.17,0.18,0.05,0.05
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,3.61,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,23.29,12.45,16.79,57.20,17.10
기타비용,19.14,41.82,104.20,10.71,2.76
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.37,7.05,65.76,1.50,0.10
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,12.00,0.0,36.55,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,3.61,0.0,0.06,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,5.77,31.16,1.90,9.16,2.66
"종속기업,공동지배기업및관계기업관련손익",4.44,-2.42,-5.62,-0.52,-0.11
지분법손익,4.44,-2.42,-5.62,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,-0.52,-0.11
세전계속사업이익,-22.46,-87.95,-164.57,13.70,27.76
법인세비용,6.11,-10.07,-19.69,6.29,1.76
계속영업이익,-28.57,-77.89,-144.88,7.42,26.01
중단영업이익,0.0,-7.08,-4.86,-1.56,-0.66
당기순이익,-28.57,-84.97,-149.74,5.85,25.35
지배주주순이익,-3.28,-64.01,-78.15,10.65,24.30
비지배주주순이익,-25.29,-20.95,-71.59,-4.79,1.06
