IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,800.07,891.35,894.40,192.49,227.68
매출원가,443.62,515.65,487.74,110.27,125.12
매출총이익,356.45,375.70,406.66,82.22,102.56
판매비와관리비,219.89,235.79,254.45,62.53,65.50
인건비,104.72,113.32,110.46,27.92,29.97
유무형자산상각비,3.14,3.06,2.59,0.39,0.73
연구개발비,32.64,29.79,28.02,5.96,9.75
광고선전비,1.40,1.51,1.87,0.35,0.33
판매비,31.58,21.69,24.94,3.67,3.58
관리비,34.96,39.61,43.31,10.39,12.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,11.45,26.81,43.25,13.86,9.11
영업이익,136.56,139.91,152.22,19.68,37.06
영업이익(발표기준),136.56,139.91,152.22,19.68,37.06
금융수익,5.10,9.30,11.99,3.15,2.56
이자수익,3.53,8.49,10.74,2.85,2.30
배당금수익,0.0,0.00,0.00,0.0,0.0
외환이익,1.57,0.81,1.25,0.30,0.26
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.72,1.66,1.35,0.17,0.52
이자비용,0.06,0.26,0.27,0.06,0.07
외환손실,0.66,1.40,0.81,0.11,0.45
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.27,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,11.44,13.92,6.93,0.84,2.17
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,2.26,0.03,0.07,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.08,0.0,0.31,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.57,1.21,3.92,0.04,1.16
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,8.53,12.69,2.63,0.81,1.01
기타비용,5.93,11.94,4.41,0.31,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.83,11.77,0.03,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.00,0.07,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,0.10,4.38,0.31,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,146.45,149.53,165.38,23.20,41.26
법인세비용,24.88,13.12,22.37,3.04,4.64
계속영업이익,121.57,136.41,143.01,20.16,36.63
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,121.57,136.41,143.01,20.16,36.63
