IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"8,581.32","6,684.11","7,123.00","1,561.32","1,737.14"
매출원가,"8,265.50","6,459.56","6,925.88","1,544.45","1,705.02"
매출총이익,315.81,224.55,197.13,16.87,32.13
판매비와관리비,117.18,137.30,163.42,42.57,39.78
인건비,70.45,90.91,108.24,24.23,24.22
유무형자산상각비,10.49,14.38,12.22,4.59,4.58
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.44,0.17,0.44,0.15,0.35
판매비,8.01,0.45,-1.59,0.22,-0.07
관리비,26.75,31.34,43.55,13.08,10.68
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.05,0.05,0.57,0.31,0.02
영업이익,198.63,87.25,33.71,-25.69,-7.66
영업이익(발표기준),198.63,87.25,33.71,-25.69,-7.66
금융수익,37.48,21.97,29.09,12.96,8.72
이자수익,3.89,10.50,12.63,3.39,2.60
배당금수익,0.07,0.07,0.07,0.82,0.07
외환이익,28.21,11.40,12.39,1.52,4.54
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,4.00,0.0,1.51
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,5.31,0.0,0.0,7.24,0.0
금융원가,114.16,168.68,181.90,41.19,44.46
이자비용,87.88,148.11,175.44,39.96,43.52
외환손실,19.02,10.49,3.64,0.64,0.74
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,3.23,4.00,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.03,0.01,0.05,0.0,0.00
금융자산평가손실,3.99,1.17,2.49,0.58,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.00,4.90,0.27,0.0,0.20
기타수익,12.07,14.19,365.78,2.57,8.57
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,3.50,1.47,353.15,0.39,-0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,4.56,2.85,1.96,0.38,0.58
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.01,9.86,10.67,1.79,8.00
기타비용,29.91,137.17,24.44,1.24,1.71
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,2.09,0.33,0.99,0.01,0.11
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.97,0.0,5.96,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,5.00,0.0,0.0
충당부채전입액,0.0,112.52,0.0,0.0,0.0
기타,26.85,24.33,12.49,1.22,1.60
"종속기업,공동지배기업및관계기업관련손익",7.64,4.08,3.23,-0.44,0.61
지분법손익,7.64,4.08,3.23,-0.44,0.61
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,111.75,-178.37,225.46,-53.03,-35.92
법인세비용,26.17,-22.33,53.88,5.56,-6.23
계속영업이익,85.58,-156.04,171.58,-58.59,-29.69
중단영업이익,-0.15,0.0,0.0,0.0,0.0
당기순이익,85.43,-156.04,171.58,-58.59,-29.69
지배주주순이익,69.59,-162.95,167.49,-56.60,-31.40
비지배주주순이익,15.85,6.92,4.09,-1.99,1.71
