IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,459.80","2,443.76","2,868.05",730.76,622.90
매출원가,"2,249.12","2,201.12","2,624.76",673.01,562.92
매출총이익,210.68,242.64,243.29,57.75,59.98
판매비와관리비,168.13,186.63,207.64,51.39,47.43
인건비,72.97,76.12,82.92,20.12,19.38
유무형자산상각비,10.04,8.96,10.19,2.83,2.33
연구개발비,5.36,6.03,5.53,1.44,1.28
광고선전비,0.25,0.12,0.17,0.01,0.02
판매비,31.74,42.83,51.88,12.99,10.88
관리비,47.77,52.58,56.94,14.00,13.54
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,42.55,56.01,35.65,6.36,12.55
영업이익(발표기준),42.55,56.01,35.65,6.36,12.55
금융수익,66.87,43.68,35.84,9.07,10.97
이자수익,8.01,11.33,9.99,1.57,3.03
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,20.38,14.53,6.09,4.20,0.88
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,38.48,17.81,19.77,3.31,7.06
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,65.70,38.22,45.35,8.28,9.96
이자비용,5.01,7.66,8.64,1.22,1.89
외환손실,45.56,20.70,34.13,5.33,7.98
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,15.13,9.86,2.59,1.73,0.09
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,12.55,4.04,1.41,0.36,0.37
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,11.58,1.95,0.03,0.04,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.66,1.73,0.33,0.10,0.30
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.31,0.36,1.05,0.22,0.07
기타비용,1.70,0.35,0.19,0.04,0.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.00,0.00,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.22,0.13,0.13,0.01,0.01
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.47,0.22,0.06,0.03,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-0.00,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,-0.00,0.0,0.0
세전계속사업이익,54.56,65.15,27.36,7.47,13.90
법인세비용,11.60,15.63,0.60,1.25,2.86
계속영업이익,42.97,49.52,26.75,6.22,11.04
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,42.97,49.52,26.75,6.22,11.04
지배주주순이익,42.97,49.52,26.75,6.22,11.04
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
