IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,829.89,902.79,"1,175.67",263.60,263.48
매출원가,627.28,674.81,816.09,187.80,181.05
매출총이익,202.61,227.98,359.58,75.80,82.43
판매비와관리비,152.88,158.47,165.55,41.56,35.93
인건비,79.23,73.37,73.46,17.51,19.87
유무형자산상각비,10.03,8.53,8.84,2.36,-1.66
연구개발비,19.51,19.75,18.16,5.66,3.51
광고선전비,0.0,0.0,0.01,0.0,0.01
판매비,33.67,22.59,27.13,6.19,5.31
관리비,47.82,29.94,30.62,8.18,7.06
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,-37.39,4.29,7.34,1.65,1.83
영업이익,49.73,69.51,194.02,34.24,46.51
영업이익(발표기준),49.73,69.51,194.02,34.24,46.51
금융수익,4.69,7.31,14.69,6.17,3.17
이자수익,6.76,8.66,14.66,6.17,3.17
배당금수익,0.04,0.02,0.03,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.00,0.01,0.00,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,-2.12,-1.38,-0.00,0.0,-0.00
금융원가,1.89,0.95,0.35,0.02,0.14
이자비용,1.90,0.95,0.35,0.02,0.14
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,-0.01,0.0,0.0,0.0,0.0
기타수익,32.09,5.45,13.80,2.34,36.85
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,9.06,4.02,12.04,2.08,3.24
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,40.61,0.38,0.85,0.10,0.20
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.13,0.05,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,-17.58,0.93,0.86,0.16,33.41
기타비용,9.68,11.37,4.13,2.03,0.91
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,8.03,3.03,2.38,1.70,0.49
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,7.75,2.21,0.33,0.02,0.04
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.16,4.69,0.21,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,-6.27,1.45,1.22,0.31,0.38
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,74.96,69.94,218.04,40.69,85.48
법인세비용,4.15,9.16,27.52,5.36,23.01
계속영업이익,70.81,60.79,190.51,35.33,62.47
중단영업이익,-3.91,-1.18,35.02,0.0,-0.54
당기순이익,66.89,59.61,225.54,35.33,61.92
지배주주순이익,66.89,59.61,225.54,35.33,61.92
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
