IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,499.74,450.64,480.62,134.72,114.00
매출원가,410.82,385.33,395.73,107.42,92.29
매출총이익,88.92,65.31,84.89,27.30,21.71
판매비와관리비,64.25,60.18,73.86,19.73,16.79
인건비,26.63,28.47,33.63,7.93,8.68
유무형자산상각비,0.65,0.54,1.64,0.90,0.15
연구개발비,5.73,4.90,3.99,0.93,0.90
광고선전비,0.02,0.03,0.02,0.0,0.01
판매비,13.87,10.63,14.83,3.74,2.95
관리비,17.34,15.61,19.75,6.22,4.10
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,-0.00,0.0
영업이익,24.68,5.14,11.03,7.57,4.92
영업이익(발표기준),24.68,5.14,11.03,7.57,4.92
금융수익,18.84,22.21,19.35,1.83,0.11
이자수익,1.53,0.71,0.17,0.00,0.11
배당금수익,0.04,0.00,0.07,0.0,0.0
외환이익,0.0,0.0,13.37,1.83,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,17.27,19.44,5.67,0.0,0.0
기타금융수익,0.0,2.06,0.07,0.0,0.0
금융원가,21.55,43.46,8.90,2.42,1.31
이자비용,16.10,8.43,3.48,0.73,1.31
외환손실,0.0,0.0,5.42,1.69,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,5.45,35.04,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,25.25,12.60,8.40,0.05,3.12
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,19.86,8.85,0.0,0.0,2.34
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.62,0.02,0.02,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.68,0.70,0.32,0.0,0.19
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.09,3.02,8.07,0.05,0.58
기타비용,20.18,9.22,2.07,0.24,0.43
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,14.55,7.34,0.0,0.0,0.11
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,2.70,0.36,0.76,0.0,0.08
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.27,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.31,0.09,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.62,1.44,1.03,0.24,0.25
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,2.78,0.0
지분법손익,0.0,0.0,0.0,2.78,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,27.03,-12.74,27.82,9.57,6.40
법인세비용,6.19,3.52,0.78,0.87,0.27
계속영업이익,20.84,-16.27,27.05,8.70,6.13
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,20.84,-16.27,27.05,8.70,6.13
지배주주순이익,20.40,-16.48,27.08,8.64,6.09
비지배주주순이익,0.44,0.22,-0.03,0.06,0.04
