IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,683.63","1,560.32","1,560.04",389.47,386.22
매출원가,"1,207.20","1,097.48","1,089.14",268.89,273.46
매출총이익,476.43,462.83,470.90,120.58,112.75
판매비와관리비,432.54,413.26,434.80,114.74,108.46
인건비,251.19,241.23,247.48,64.18,62.92
유무형자산상각비,0.0,0.0,0.0,0.0,0.0
연구개발비,16.31,18.17,20.80,0.45,0.30
광고선전비,2.58,2.38,2.46,0.71,0.85
판매비,41.01,24.79,33.26,13.20,11.68
관리비,80.78,81.94,83.33,22.36,21.38
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,40.67,44.75,47.47,13.84,11.34
영업이익,43.89,49.58,36.10,5.84,4.29
영업이익(발표기준),43.89,49.58,36.10,5.84,4.29
금융수익,34.28,11.53,4.22,0.66,0.92
이자수익,3.36,2.90,2.83,0.66,0.81
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,30.91,6.12,0.55,0.0,0.11
기타금융수익,0.0,2.51,0.84,0.0,0.0
금융원가,29.85,36.27,35.05,6.74,8.59
이자비용,29.85,36.27,34.19,6.74,8.59
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.84,0.0,0.0
기타금융원가,0.0,0.0,0.01,0.0,0.0
기타수익,60.23,28.40,51.74,5.95,13.34
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,38.89,20.72,42.23,4.36,12.30
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.92,0.40,0.18,0.15,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.46,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.04,0.97,1.14,0.41,0.24
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,10.29,0.93,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,9.09,5.38,7.72,1.03,0.81
기타비용,62.15,33.09,40.05,4.87,5.34
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,31.46,23.83,26.22,2.82,4.50
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.03,0.26,0.02,0.16,0.05
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,22.68,1.03,2.55,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.14,0.03,0.78,0.01,0.01
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,7.84,7.93,10.49,1.89,0.79
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,46.41,20.15,16.95,0.84,4.61
법인세비용,19.02,2.81,3.84,-0.36,0.13
계속영업이익,27.39,17.34,13.11,1.20,4.48
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,27.39,17.34,13.11,1.20,4.48
지배주주순이익,27.39,17.34,13.11,1.20,4.48
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
