IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"17,244.52","17,174.23","17,037.89","7,888.92","7,231.52"
매출원가,"15,320.54","15,181.51","14,948.45","7,192.13","6,496.87"
매출총이익,"1,923.98","1,992.72","2,089.44",696.79,734.65
판매비와관리비,"1,890.74","2,024.73","2,192.29",448.28,520.10
인건비,925.97,983.95,"1,101.67",254.48,257.64
유무형자산상각비,380.84,378.31,376.21,91.77,90.80
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,7.08,8.55,8.71,1.73,1.88
판매비,-0.04,6.48,6.32,2.41,2.24
관리비,574.22,644.53,698.59,97.89,166.81
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.66,2.91,0.78,0.00,0.73
영업이익,33.25,-32.01,-102.85,248.51,214.55
영업이익(발표기준),33.25,-32.01,-102.85,248.51,214.55
금융수익,195.09,280.35,258.32,66.54,68.97
이자수익,186.83,261.77,234.09,40.57,59.04
배당금수익,0.16,0.57,1.03,1.16,0.94
외환이익,6.98,4.28,7.50,0.77,1.63
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,1.12,13.73,15.71,24.03,7.36
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,39.97,39.89,34.36,6.95,9.60
이자비용,30.11,29.37,26.65,6.12,6.93
외환손실,6.76,4.33,7.61,0.83,2.67
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,3.09,0.15,0.10,0.0,0.0
금융자산평가손실,0.0,6.04,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,103.20,75.51,258.08,17.68,18.12
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.74,0.77,128.61,0.88,0.19
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,4.70,4.57,4.94,1.45,1.47
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.33,0.0,0.0,0.02,0.04
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,97.43,70.16,124.54,15.33,16.43
기타비용,54.51,19.90,40.04,3.42,4.66
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,6.52,2.77,3.06,0.83,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.44,0.15,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,47.99,16.68,36.83,2.60,4.66
"종속기업,공동지배기업및관계기업관련손익",-12.00,1.05,0.51,0.01,-0.39
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-12.00,1.05,0.51,0.01,-0.39
세전계속사업이익,225.06,265.11,339.67,322.37,286.99
법인세비용,45.87,59.84,-3.55,68.86,11.82
계속영업이익,179.19,205.27,343.22,253.51,275.17
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,179.19,205.27,343.22,253.51,275.17
지배주주순이익,176.81,201.45,338.90,253.33,274.23
비지배주주순이익,2.38,3.83,4.32,0.19,0.93
