IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,862.97","2,265.41","1,978.92",482.99,454.36
매출원가,"2,221.57","1,742.45","1,496.76",356.13,345.91
매출총이익,641.40,522.96,482.16,126.87,108.45
판매비와관리비,415.41,358.97,361.48,92.17,86.29
인건비,137.92,130.50,116.79,29.40,29.73
유무형자산상각비,22.88,22.34,25.50,8.18,6.17
연구개발비,48.19,48.04,48.69,11.88,12.01
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,77.84,50.57,67.27,13.50,12.44
관리비,91.09,76.87,70.72,18.68,17.50
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,37.49,30.66,32.50,10.53,8.43
영업이익,225.99,163.98,120.68,34.70,22.16
영업이익(발표기준),225.99,163.98,120.68,34.70,22.16
금융수익,5.11,9.86,11.62,2.10,3.68
이자수익,3.82,8.59,11.60,2.08,3.70
배당금수익,1.11,0.78,0.01,0.01,0.01
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.04,0.0,0.01,-0.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.18,0.45,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,-0.00
금융원가,29.26,34.79,27.72,2.92,10.57
이자비용,27.22,33.57,21.71,2.92,6.85
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.0,0.06,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,2.03,1.22,5.95,0.0,3.73
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,63.43,71.93,46.11,6.56,16.60
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,53.15,28.40,39.20,5.96,14.29
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.52,0.32,1.52,0.11,0.80
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.13,0.11,0.07,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.88,2.81,1.81,0.03,0.75
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.24,1.99,0.24,0.39,0.00
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,7.51,38.31,3.28,0.07,0.76
기타비용,62.59,19.12,23.83,4.11,2.11
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,45.08,12.31,13.13,4.02,1.68
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.42,1.48,1.05,0.00,0.29
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,12.25,1.06,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.63,0.17,0.04,0.01,0.00
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.20,4.10,9.60,0.07,0.15
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,202.68,191.86,126.86,36.33,29.75
법인세비용,45.18,23.13,34.60,4.40,5.37
계속영업이익,157.49,168.73,92.26,31.93,24.38
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,157.49,168.73,92.26,31.93,24.38
지배주주순이익,157.49,168.73,92.26,31.93,24.38
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
